gene_transcript,gene,Non-targetting,replication,umap1,umap2,HBZ,SLC25A37,SPI1,CSF3R
10779_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.8915634,-2.9677606,0.24482769,-0.009884739,-0.08550185,-0.028712794
10780_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,9.300587,-2.6751099,-0.09378653,-0.0007667812,0.024341106,-0.02001085
10781_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.940457,-0.52975047,0.009478413,-0.01780868,-0.036785975,-0.016769974
10782_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.46342,-0.19616134,-0.25594124,-0.04077552,-0.04037181,-0.0319655
10783_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.3320823,0.44106922,-0.21003246,-0.027939755,-0.023119453,-0.0071204547
10784_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.546606,-0.7284909,-0.087822355,0.02523514,0.026914805,-0.04072608
10785_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.130531,-2.5724444,0.11505004,-0.029648686,-0.048818495,0.00769788
10786_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,9.589372,-1.7811322,-0.19376759,-0.073851354,-0.008577258,-0.030630982
10787_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.9249783,-0.50769943,-0.1793486,-0.11611844,-0.039657757,-0.016979828
10788_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.515114,0.19031458,-0.23705852,-0.08565788,-0.120916784,0.04456243
10789_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,5.4776073,-3.2515762,0.35162157,0.022173716,-0.025070356,0.010385536
10790_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,5.6586747,-0.4775168,0.17352967,0.029952418,0.021748519,-0.116489425
10791_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,4.6874957,-2.168422,0.28100342,0.033431403,-0.058844406,-0.035652142
