gene,cd14,cd11b_rep1,cd11b_rep2,cd11b
MRPS11,-0.07914637,0.797812719,0.793814692,0.795813706
MIS12,0.460623285,1.021128977,0.569324679,0.795226828
CENPT,0.695712812,0.419871316,1.169597504,0.79473441
GINS4,1.501430168,0.177157902,1.410666901,0.793912401
EFTUD2,0.059920457,0.737325762,0.848790092,0.793057927
BMS1,0.489025587,0.887889786,0.696805521,0.792347654
NOC3L,0.242244226,0.957450321,0.623149616,0.790299969
SKA1,0.796529743,0.799714151,0.776168919,0.787941535
DCTN6,1.039887978,1.1237003,0.449384487,0.786542394
L2HGDH,0.318537445,0.833129905,0.726113033,0.779621469
RRM2,0.27620875,0.296097701,1.254197245,0.775147473
DDX21,0.328443384,0.928098823,0.615155787,0.771627305
SNRPG,0.348764376,0.69542084,0.847233457,0.771327148
RNF24,0.221173017,0.932376601,0.609690509,0.771033555
FNBP4,0.337939507,0.975179233,0.564399483,0.769789358
RAD9A,0.909423424,0.494093953,1.03459534,0.764344646
BRPF1,1.317281317,1.292553346,0.231352801,0.761953074
RIBC1,0.147045094,1.025876517,0.495273093,0.760574805
GTF2H4,-0.064888716,0.682728181,0.825412689,0.754070435
PSMA7,0.771120901,0.94112368,0.56059424,0.75085896
CLSPN,1.173285694,0.177157902,1.324286074,0.750721988
PGD,0.229791321,0.937772331,0.562824724,0.750298528
RPL28,0.430945091,0.854629478,0.642846139,0.748737809
SLC38A2,0.234434855,0.71023407,0.786534691,0.74838438
FDPS,0.187176055,1.109666374,0.38590709,0.747786732
KLF16,0.146939065,0.566808518,0.927903412,0.747355965
ZFC3H1,0.204661414,0.839140333,0.649423907,0.74428212
ZBTB14,-0.253593348,0.76280124,0.722755227,0.742778234
MRPL18,-0.092383334,0.76966041,0.714682621,0.742171515
SKA3,-0.29640353,0.355712616,1.123788955,0.739750785
KDM4A,-0.017388498,0.847287599,0.630886271,0.739086935
CEBPG,0.128971309,0.330467254,1.146498234,0.738482744
YLPM1,-0.100100304,0.557755807,0.912294855,0.735025331
ANAPC13,0.201726909,0.954318498,0.514913542,0.73461602
ZCCHC9,0.348911826,0.55846061,0.908258393,0.733359501
SS18,-0.323024541,0.64349639,0.823056679,0.733276534
DENR,0.170709011,0.873873424,0.58801302,0.730943222
HAUS5,0.188297409,0.569091187,0.887417749,0.728254468
DCTN1,0.374094687,0.90783615,0.54811645,0.7279763
TUBG1,0.314232411,0.874726873,0.578937353,0.726832113
MLLT1,0.083100139,1.046721572,0.406104971,0.726413272
MED4,0.113329789,0.923431335,0.524481436,0.723956385
HINFP,0,0.799714151,0.645581887,0.722648019
GINS3,0.90564007,0.615848259,0.826128597,0.720988428
