gene,wang_cd14,wang_cd11b
ANKRD13B,-0.279788859,0.248869709
ANKRD13C,-0.447332857,-0.373534481
ANKRD13D,-0.138837477,1.007633566
ANKRD16,-0.159887927,-0.105818911
ANKRD17,0.453716703,-0.226574769
ANKRD18A,-0.575914072,-0.080313161
ANKRD18B,0.029201304,0.15551228
ANKRD2,0.321388057,0.435659311
ANKRD20A1,0.549785485,-0.111986431
ANKRD20A2,0.115773028,-0.015505258
ANKRD20A3,0.37222047,0.272702982
ANKRD20A4,0.312611332,0.143874019
ANKRD22,-0.630233971,-0.383125164
ANKRD23,0.353687032,0.108064077
ANKRD24,0.160378202,-0.215090214
ANKRD26,0.292272617,0.275186582
ANKRD27,-0.189477878,0.292370877
ANKRD28,0.408320661,-0.127513647
ANKRD30A,-0.660225424,-0.191781972
ANKRD30B,-0.043941331,0.530367455
ANKRD31,0.467797921,0.769365377
ANKRD32,0.595667343,-0.793535153
ANKRD33,0.115917328,-0.219202817
ANKRD33B,-0.05878059,-0.51453032
ANKRD34A,0.25959787,0.842191408
ANKRD34B,0.059303516,0.673079731
ANKRD34C,-1.011753386,-0.03855153
ANKRD35,-0.170133825,-0.529018001
ANKRD36,0.141148261,0.414800555
ANKRD36B,0.102311219,0.123343198
