"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD82",2.21206404838235e-53,-0.272787869870441,0.044,0.205,5.23728284095005e-49
"MT-ATP6",3.6524063495547e-53,-1.35036085833376,0.73,0.746,8.6474372732057e-49
"CORO1C",4.25669922355174e-53,-0.443364096128472,0.13,0.319,1.00781610816811e-48
"RAD21",5.07839616421446e-53,0.349137169249925,0.769,0.561,1.20236107583942e-48
"BCAP29",7.32238003380827e-53,0.391636583159756,0.535,0.377,1.73364669680445e-48
"ARHGEF12",7.41877466756082e-53,-0.775625291746372,0.312,0.503,1.7564690902917e-48
"TNRC6B",1.60930952347205e-52,-0.735863575565004,0.45,0.611,3.81020122777244e-48
"HNRNPA1",1.95942536239945e-52,-0.796612832669588,0.239,0.394,4.63913548801694e-48
"HIST1H2BH",2.22627968721104e-52,0.402251134284133,0.381,0.231,5.27093978744087e-48
"EEF1D",2.25282940814803e-52,0.355030057341919,0.861,0.6,5.33379890673127e-48
"UBAP1",3.40826301959413e-52,-0.584704987089832,0.138,0.321,8.06940352519107e-48
"MBD5",5.63456768265332e-52,-0.598265650227207,0.247,0.439,1.334040244545e-47
"SPCS2",1.16142304300379e-51,0.35987636160752,0.635,0.452,2.74978519661578e-47
"FTL",1.29303749132055e-51,0.365300261345314,0.997,0.977,3.06139556445054e-47
"TMBIM6",2.72429198716402e-51,0.434415863828517,0.781,0.635,6.45003370880954e-47
"JPT1",3.12088761523762e-51,0.336300031851489,0.662,0.459,7.3890135178366e-47
"CEP57",4.84246176251845e-51,0.338825968569833,0.659,0.472,1.14650124689387e-46
"AQP1",7.40517327665914e-51,0.351291526983776,0.491,0.323,1.75324882498182e-46
"RAPGEF2",1.27210824741083e-50,-1.13006309116342,0.501,0.652,3.01184348656988e-46
"KIAA1211",6.0103157104056e-50,-0.420248906062329,0.059,0.216,1.42300234759563e-45
"AKR1C3",8.57181998957092e-50,-0.337126645450373,0.059,0.218,2.02946410073081e-45
"HARS",9.55166212931494e-50,-0.266493191834281,0.073,0.242,2.2614515257366e-45
"MICOS13",1.12659995799813e-49,-0.265648540196896,0.061,0.223,2.66733806055637e-45
"AC069410.1",1.12718390495022e-49,-0.462531028534373,0.062,0.221,2.66872061336015e-45
"HSPB1",1.51871000582371e-49,0.378664581957979,0.507,0.355,3.59569780978822e-45
"RSL1D1",1.60743143956548e-49,-0.294593765636623,0.06,0.221,3.80575467631524e-45
"ACSBG1",3.8504513546334e-49,-0.39717011525536,0.033,0.177,9.11632862723003e-45
"MBNL1",5.13880250541649e-49,-0.799384247795704,0.524,0.628,1.21666288118241e-44
"HMGB3",6.79456517107733e-49,0.405901215012546,0.495,0.344,1.60868124990427e-44
"NUDT1",8.57258394990483e-49,0.333731713438127,0.711,0.491,2.02964497597947e-44
"SNHG8",8.74837857485581e-49,-0.290934745287435,0.062,0.221,2.07126611138286e-44
"GALNT2",9.95637953694132e-49,-0.472843528224441,0.119,0.293,2.35727241916623e-44
"FADS2",1.74251205816706e-48,-0.295495283446077,0.054,0.209,4.12557154891634e-44
"FTX",2.58827550212948e-48,-0.578102618994933,0.204,0.387,6.12800107884177e-44
"DNAJC1",1.91526424033818e-47,0.33564684116749,0.501,0.345,4.53457961542468e-43
"UBE2H",2.01968332748116e-47,-0.977174285653875,0.46,0.587,4.78180224614439e-43
"PTH2R",2.32324745003327e-47,-0.268674116710345,0.006,0.128,5.50052066269876e-43
"KLHL18",2.72902239625825e-47,-0.336693723548472,0.128,0.306,6.46123342538104e-43
"TAGLN2",2.85582439260953e-47,-0.383524375325764,0.059,0.209,6.76144983194233e-43
"ATP6V0B",3.29498226875447e-47,0.318145608123979,0.728,0.568,7.80120001950307e-43
"FAM210B",3.54046867654786e-47,0.330882068985566,0.922,0.836,8.38241363859471e-43
"BMP2K",5.16479662664216e-47,-0.803780596664622,0.629,0.705,1.2228172493238e-42
"ARHGAP15",5.46934363054146e-47,-0.492518773479378,0.088,0.248,1.294921797967e-42
"TIMM13",5.54879490717684e-47,-0.427341692679061,0.109,0.272,1.31373268222319e-42
"MT-ND4",6.77183816092283e-47,-1.28167963915343,0.575,0.62,1.60330040298009e-42
"AMBRA1",1.02657447557929e-46,-0.45599826018509,0.13,0.308,2.43051772838153e-42
"B2M",2.14313119442734e-46,0.275331299635875,0.956,0.862,5.07407741592618e-42
"MT-CYB",2.28121789459951e-46,-1.19741857134377,0.657,0.687,5.40101148725379e-42
"RB1CC1",3.8996307778003e-46,-0.733156124421045,0.494,0.646,9.23276582951998e-42
"VPS50",5.42054620706058e-46,-0.416474566760493,0.102,0.27,1.28336851998366e-41
"MT-CO3",5.77848700495846e-46,-1.36611061893403,0.836,0.812,1.36811458329396e-41
"C2orf88",8.4091299115978e-46,0.339743624318252,0.379,0.237,1.99094559786989e-41
"STX18",8.68787154138487e-46,-0.444307365948415,0.101,0.264,2.05694046613828e-41
"MT-CO2",1.0337424347063e-45,-1.44863297168871,0.759,0.753,2.44748858841063e-41
"NHP2",2.07985169891226e-45,-0.309057648236044,0.073,0.228,4.92425688234466e-41
"TOMM22",2.71116568442239e-45,-0.277133948724195,0.091,0.253,6.41895587443845e-41
"HSP90AB1",2.82097836384045e-45,-0.694740420491186,0.591,0.658,6.67894837422865e-41
"ACSM3",3.76203801727819e-45,-0.311590003921894,0.022,0.15,8.90700120970783e-41
"ESCO2",4.12881857988138e-45,0.321184850338649,0.48,0.324,9.77539086972716e-41
"MYBL2",6.11819668500202e-45,0.329129485978634,0.588,0.399,1.44854424714108e-40
"RUNX1",6.39536962848817e-45,-0.411215580680502,0.048,0.191,1.51416771324086e-40
"ATP6V0A1",8.23465441796949e-45,-0.361425428926099,0.144,0.32,1.94963677999846e-40
"LAMTOR5",8.55409995392328e-45,-0.437504894288324,0.374,0.542,2.02526870509088e-40
"ATF5",1.22572962865291e-44,0.489057430766915,0.351,0.217,2.90203746879862e-40
"NSUN3",1.31368129097923e-44,-0.464753865374235,0.039,0.174,3.11027182452242e-40
