,display.name,cd11b.y
375,SLC24A2,-0.415431699
376,SLC25A53,-0.412393649
377,SLC26A4,-0.47709828
378,SLC35B1,-1.68441135
379,SLC39A7,-0.879973622
380,SLC6A19,-0.429386884
381,SLFN11,-0.486842132
382,SLPI,-0.403204929
383,SMAGP,-0.485581143
384,SMARCA5,-1.19263016
385,SMIM10,-0.462271234
386,SMTNL1,-0.411669572
387,SMURF1,-0.413221375
388,SMYD5,-0.608200524
389,SNAP23,-0.639862104
390,SNAP91,-0.418765735
391,SNRPA,-0.402401515
392,SOD1,-0.563766109
393,SP1,-0.815823043
394,SP2,-0.455363557
395,SP3,-0.42425894
396,SPAG7,-1.082982791
397,SPDYE4,-0.476100013
398,SPI1,-2.38355006
399,SPNS1,-0.502396113
400,SPRYD3,-0.520112118
401,SRP19,-0.478531715
402,SRRT,-1.010890781
403,SSRP1,-0.762264943
404,STAG2,-0.423239616
405,SUMO2,-0.517683604
406,SUPT5H,-1.207938106
407,SYF2,-0.491665076
408,SYVN1,-1.00973523
409,TAF1,-1.588353184
410,TAF11,-0.66603686
411,TAF13,-0.453003084
412,TAF2,-2.777751057
413,TAF3,-0.777847797
414,TAF4,-1.061954365
415,TAF5,-1.035181525
416,TAF6,-0.567857217
417,TAF7,-0.543475878
418,TAF8,-1.757945201
419,TAMM41,-1.00982912
420,TARDBP,-1.298503529
421,TAS2R38,-0.420266546
422,TCP1,-0.39290897
423,TEAD4,-0.711675635
424,THADA,-0.496704955
425,THG1L,-0.453964476
426,THRAP3,-0.627148047
427,TIMM50,-0.41237853
428,TIPARP,-0.597410575
429,TLCD2,-0.421594036
430,TLE3,-0.818167903
431,TLK2,-0.515248853
432,TMBIM6,-0.406609905
433,TMED2,-0.419088911
434,TMEM132D,-0.39372837
435,TMEM233,-0.50860245
436,TMEM260,-0.470005354
437,TMEM42,-0.3917225
438,TMEM74B,-0.465315214
439,TMEM88B,-0.506066266
440,TMIGD2,-0.4184739
441,TMPRSS13,-0.432205617
442,TOB2,-0.431250095
443,TP53,-1.149218549
444,TPM3,-0.421334367
445,TRAF6,-0.398582823
446,TRERF1,-0.820220844
447,TRIM68,-0.485675549
448,TRIM8,-0.444173623
449,TRIP12,-0.638147296
450,TROVE2,-0.392569312
451,TSGA13,-0.405823958
452,TSPYL1,-0.462146308
453,TSTD2,-0.452713522
454,TTI1,-0.54831995
455,TTI2,-0.413998418
456,UBA3,-0.667736914
457,UBA6,-0.816697795
458,UBE3D,-0.506337511
459,UBR4,-0.501616824
460,UCHL5,-0.455031321
461,UCK2,-0.914922431
462,UGGT1,-0.385909858
463,UNC93B1,-0.403689071
464,URI1,-0.637802459
465,USP28,-0.555602016
466,USP5,-0.534740347
467,UTP14C,-0.453586903
468,UXT,-0.402434703
469,VARS,-1.623465176
470,VEZF1,-0.506435697
471,VGLL4,-0.531520699
472,VPS13D,-0.473635599
473,VPS72,-1.599489843
474,WBSCR27,-0.421922602
475,WDR33,-1.13850715
476,WDR5,-0.817063217
477,WDR61,-0.925523845
478,WDYHV1,-0.441871509
479,WSB2,-0.403803997
480,XPR1,-0.590727788
481,YEATS4,-1.052831962
482,ZC3H18,-0.54692012
483,ZC3HC1,-0.699441135
484,ZDHHC13,-0.405107396
485,ZFP36L2,-0.387611124
486,ZFR,-0.407093347
487,ZFX,-0.635846071
488,ZNF121,-0.401822897
489,ZNF326,-0.405375426
490,ZNF367,-0.54788945
491,ZNF526,-0.404541086
492,ZNF761,-0.388392299
