,Symbol,canonicalName,DEGREE,Gene,id,MCODE_CLUSTER_ID,MCODE_SCORE,MCODE_TYPE,name,selected,shared.name,cd11b
87,MAU2,MAU2,4,23383,23383,5,2.10526315789474,Clustered,23383,false,23383,-0.386178903
88,MBD3,MBD3,11,53615,53615,1,5.73913043478261,Clustered,53615,false,53615,-0.715884437
89,MEN1,MEN1,10,4221,4221,2,3.75,Clustered,4221,false,4221,-0.68636495
90,MSL1,MSL1,2,339287,339287,6,1.88888888888889,Clustered,339287,false,339287,-0.72985509
91,MTA2,MTA2,8,9219,9219,1,5.73913043478261,Clustered,9219,false,9219,-0.461018163
92,NCOA6,NCOA6,5,23054,23054,2,3.75,Clustered,23054,false,23054,-2.015324326
93,NCOR1,NCOR1,6,9611,9611,2,3.75,Clustered,9611,false,9611,-0.411062597
94,NDC1,NDC1,5,55706,55706,2,3.75,Clustered,55706,false,55706,-0.443679907
95,NFRKB,NFRKB,4,4798,4798,6,1.88888888888889,Clustered,4798,false,4798,-0.570784877
96,NSD1,NSD1,4,64324,64324,8,1.2,Seed,64324,false,64324,-0.632908662
97,NUDC,NUDC,2,10726,10726,5,2.10526315789474,Clustered,10726,false,10726,-0.870025221
98,NUP153,NUP153,6,9972,9972,2,3.75,Clustered,9972,false,9972,-0.88215286
99,NUP35,NUP35,5,129401,129401,2,3.75,Clustered,129401,false,129401,-1.064423992
100,NUP43,NUP43,5,348995,348995,2,3.75,Clustered,348995,false,348995,-0.445828433
101,NUTF2,NUTF2,2,10204,10204,6,1.88888888888889,Clustered,10204,false,10204,-0.558533657
102,OBSL1,OBSL1,8,23363,23363,2,3.75,Clustered,23363,false,23363,-0.397732696
103,PAF1,PAF1,8,54623,54623,1,5.73913043478261,Clustered,54623,false,54623,-1.08593499
104,PAN2,PAN2,4,9924,9924,6,1.88888888888889,Clustered,9924,false,9924,-0.592856446
105,PCBP1,PCBP1,18,5093,5093,4,9,Clustered,5093,false,5093,-1.323936165
106,PDCL,PDCL,3,5082,5082,5,2.10526315789474,Clustered,5082,false,5082,-1.105550145
107,PDRG1,PDRG1,8,81572,81572,2,3.75,Clustered,81572,false,81572,-0.468509553
108,PFDN2,PFDN2,8,5202,5202,2,3.75,Clustered,5202,false,5202,-0.405094761
109,PHF1,PHF1,4,5252,5252,3,2.65,Clustered,5252,false,5252,-0.402354485
110,PMM2,PMM2,7,5373,5373,3,2.65,Seed,5373,false,5373,-0.476545253
111,POLR2B,POLR2B,18,5431,5431,4,9,Clustered,5431,false,5431,-0.598119034
112,POLR2C,POLR2C,18,5432,5432,4,9,Clustered,5432,false,5432,-0.437559143
113,POLR2M,POLR2M,7,81488,81488,2,3.75,Clustered,81488,false,81488,-0.458488309
114,POLR3A,POLR3A,12,11128,11128,2,3.75,Clustered,11128,false,11128,-0.576539306
115,POLR3F,POLR3F,2,10621,10621,12,1,Clustered,10621,false,10621,-0.41639635
116,PPIA,PPIA,7,5478,5478,3,2.65,Clustered,5478,false,5478,-0.557036837
117,PPIE,PPIE,18,10450,10450,4,9,Clustered,10450,false,10450,-0.511053413
118,PPM1G,PPM1G,2,5496,5496,15,1,Seed,5496,false,5496,-0.448965944
119,PREB,PREB,2,10113,10113,9,1.25,Clustered,10113,false,10113,-0.632079104
120,PRKDC,PRKDC,5,5591,5591,5,2.10526315789474,Clustered,5591,false,5591,-0.541687831
121,PYCARD,PYCARD,2,29108,29108,11,1,Clustered,29108,false,29108,-1.012559283
122,RANGAP1,RANGAP1,3,5905,5905,3,2.65,Clustered,5905,false,5905,-0.649459671
123,RBBP5,RBBP5,4,5929,5929,3,2.65,Clustered,5929,false,5929,-0.779550863
124,RBM22,RBM22,18,55696,55696,4,9,Clustered,55696,false,55696,-0.421815661
125,RBM5,RBM5,18,10181,10181,4,9,Clustered,10181,false,10181,-0.647654766
126,RNASE3,RNASE3,2,6037,6037,11,1,Clustered,6037,false,6037,-0.439577847
127,RNF40,RNF40,3,9810,9810,3,2.65,Clustered,9810,false,9810,-0.572147988
128,RPAP3,RPAP3,7,79657,79657,2,3.75,Clustered,79657,false,79657,-0.554254152
129,RPN1,RPN1,10,6184,6184,5,2.10526315789474,Clustered,6184,false,6184,-0.50444748
130,RPN2,RPN2,3,6185,6185,9,1.25,Clustered,6185,false,6185,-0.766297883
131,RPRD2,RPRD2,12,23248,23248,1,5.73913043478261,Clustered,23248,false,23248,-0.504227863
132,RTF1,RTF1,9,23168,23168,1,5.73913043478261,Clustered,23168,false,23168,-1.200767434
133,SAP130,SAP130,10,79595,79595,1,5.73913043478261,Clustered,79595,false,79595,-1.34290532
134,SEC13,SEC13,3,6396,6396,5,2.10526315789474,Clustered,6396,false,6396,-0.474476337
135,SETD1B,SETD1B,11,23067,23067,2,3.75,Clustered,23067,false,23067,-0.912809143
136,SFPQ,SFPQ,4,6421,6421,5,2.10526315789474,Clustered,6421,false,6421,-1.082253013
137,SIN3A,SIN3A,7,25942,25942,3,2.65,Clustered,25942,false,25942,-0.633498823
138,SIRT1,SIRT1,5,23411,23411,3,2.65,Clustered,23411,false,23411,-0.569923989
139,SLC15A4,SLC15A4,4,121260,121260,7,2,Seed,121260,false,121260,-0.403425058
140,SMARCA5,SMARCA5,5,8467,8467,2,3.75,Clustered,8467,false,8467,-1.19263016
141,SMURF1,SMURF1,13,57154,57154,1,5.73913043478261,Clustered,57154,false,57154,-0.413221375
142,SMYD5,SMYD5,2,10322,10322,6,1.88888888888889,Clustered,10322,false,10322,-0.608200524
143,SNAP23,SNAP23,4,8773,8773,7,2,Clustered,8773,false,8773,-0.639862104
144,SNRPA,SNRPA,18,6626,6626,4,9,Clustered,6626,false,6626,-0.402401515
145,SOD1,SOD1,6,6647,6647,3,2.65,Clustered,6647,false,6647,-0.563766109
146,SP1,SP1,12,6667,6667,1,5.73913043478261,Clustered,6667,false,6667,-0.815823043
147,SRP19,SRP19,2,6728,6728,5,2.10526315789474,Clustered,6728,false,6728,-0.478531715
148,SRRT,SRRT,18,51593,51593,4,9,Clustered,51593,false,51593,-1.010890781
149,SSRP1,SSRP1,10,6749,6749,1,5.73913043478261,Clustered,6749,false,6749,-0.762264943
150,SUMO2,SUMO2,10,6613,6613,3,2.65,Clustered,6613,false,6613,-0.517683604
151,SUPT5H,SUPT5H,20,6829,6829,1,5.73913043478261,Seed,6829,false,6829,-1.207938106
152,SYF2,SYF2,18,25949,25949,4,9,Seed,25949,false,25949,-0.491665076
153,TAF1,TAF1,17,6872,6872,1,5.73913043478261,Clustered,6872,false,6872,-1.588353184
154,TAF11,TAF11,16,6882,6882,1,5.73913043478261,Clustered,6882,false,6882,-0.66603686
155,TAF13,TAF13,18,6884,6884,1,5.73913043478261,Clustered,6884,false,6884,-0.453003084
156,TAF2,TAF2,11,6873,6873,1,5.73913043478261,Clustered,6873,false,6873,-2.777751057
157,TAF3,TAF3,14,83860,83860,1,5.73913043478261,Clustered,83860,false,83860,-0.777847797
158,TAF4,TAF4,13,6874,6874,1,5.73913043478261,Clustered,6874,false,6874,-1.061954365
159,TAF5,TAF5,18,6877,6877,1,5.73913043478261,Clustered,6877,false,6877,-1.035181525
160,TAF6,TAF6,5,6878,6878,2,3.75,Clustered,6878,false,6878,-0.567857217
161,TAF7,TAF7,13,6879,6879,1,5.73913043478261,Clustered,6879,false,6879,-0.543475878
162,TAF8,TAF8,16,129685,129685,1,5.73913043478261,Clustered,129685,false,129685,-1.757945201
163,TCP1,TCP1,7,6950,6950,5,2.10526315789474,Clustered,6950,false,6950,-0.39290897
164,THRAP3,THRAP3,3,9967,9967,5,2.10526315789474,Clustered,9967,false,9967,-0.627148047
165,TMED2,TMED2,3,10959,10959,9,1.25,Clustered,10959,false,10959,-0.419088911
166,TP53,TP53,22,7157,7157,1,5.73913043478261,Clustered,7157,false,7157,-1.149218549
167,TRERF1,TRERF1,7,55809,55809,1,5.73913043478261,Clustered,55809,false,55809,-0.820220844
168,TRIM68,TRIM68,4,55128,55128,5,2.10526315789474,Clustered,55128,false,55128,-0.485675549
169,TRIP12,TRIP12,10,9320,9320,1,5.73913043478261,Clustered,9320,false,9320,-0.638147296
170,UBA3,UBA3,12,9039,9039,1,5.73913043478261,Clustered,9039,false,9039,-0.667736914
171,UBA6,UBA6,10,55236,55236,1,5.73913043478261,Clustered,55236,false,55236,-0.816697795
172,UBE3D,UBE3D,10,90025,90025,1,5.73913043478261,Clustered,90025,false,90025,-0.506337511
173,UBR4,UBR4,10,23352,23352,1,5.73913043478261,Clustered,23352,false,23352,-0.501616824
174,UCHL5,UCHL5,4,51377,51377,6,1.88888888888889,Clustered,51377,false,51377,-0.455031321
175,URI1,URI1,7,8725,8725,2,3.75,Clustered,8725,false,8725,-0.637802459
176,UXT,UXT,7,8409,8409,2,3.75,Clustered,8409,false,8409,-0.402434703
177,VPS72,VPS72,4,6944,6944,6,1.88888888888889,Clustered,6944,false,6944,-1.599489843
178,WDR33,WDR33,18,55339,55339,4,9,Clustered,55339,false,55339,-1.13850715
179,WDR5,WDR5,2,11091,11091,8,1.2,Clustered,11091,false,11091,-0.817063217
180,WDR61,WDR61,11,80349,80349,1,5.73913043478261,Clustered,80349,false,80349,-0.925523845
181,WSB2,WSB2,2,55884,55884,8,1.2,Clustered,55884,false,55884,-0.403803997
182,YEATS4,YEATS4,11,8089,8089,1,5.73913043478261,Clustered,8089,false,8089,-1.052831962
183,ZC3H18,ZC3H18,7,124245,124245,1,5.73913043478261,Clustered,124245,false,124245,-0.54692012
