Gene,Non-leukemia,Leukemia,Leukemia/Non-leukemia
NIT2,0.052194989,0.038579915,-0.013615074
NKAIN1,-0.013468149,0.011048963,0.024517112
NKAIN2,0.12862445,0.122079419,-0.006545031
NKAIN3,-0.056763064,-0.034922564,0.0218405
NKAIN4,0.027416693,0.060363686,0.032946993
NKAPL,-0.107480945,-0.143249647,-0.035768702
NKD1,0.123050599,0.046685548,-0.076365051
NKD2,0.076846367,0.001859027,-0.07498734
NKG7,0.077175173,0.060286119,-0.016889054
NKIRAS1,-0.044395457,0.007022379,0.051417836
NKIRAS2,0.040418456,0.056337019,0.015918563
NKTR,0.009843019,-0.001542465,-0.011385484
NKX1,-0.164570628,-0.146635631,0.017934997
NKX2,0.152433368,0.165237237,0.012803869
NKX2,0.210411211,0.228285651,0.01787444
NKX2,-0.089934513,-0.084767893,0.005166621
NKX2,0.068588877,0.088671893,0.020083016
NKX2,-0.380121963,-0.341100999,0.039020964
NKX2,-0.047371611,-0.034983928,0.012387683
NKX3,0.10458431,0.095899531,-0.008684779
NKX3,0.276888502,0.217398201,-0.059490301
NKX6,0.044506419,0.10856167,0.064055251
NKX6,0.112563319,0.145101468,0.032538149
NKX6,-0.097037488,-0.045154852,0.051882636
NLE1,-1.105617836,-1.053264864,0.052352972
NLGN1,0.011595678,0.0045534,-0.007042278
NLGN2,-0.068587415,-0.050650318,0.017937097
NLK,0.30412011,0.340730912,0.036610801
NLN,-0.043548123,-0.016876579,0.026671543
NLRC4,0.135050547,0.131874536,-0.003176011
NLRC5,-0.128301773,-0.107883677,0.020418096
NLRP1,-0.037452416,-0.063484966,-0.02603255
NLRP10,0.022498349,0.034495146,0.011996797
NLRP11,0.062461741,0.056865168,-0.005596573
NLRP12,0.206661969,0.207255651,0.000593682
NLRP13,-0.307123668,-0.376616699,-0.069493031
NLRP14,0.293167641,0.288955618,-0.004212023
NLRP2,0.059179056,0.022345147,-0.036833909
NLRP3,0.057746823,0.013435371,-0.044311452
NLRP4,0.00758303,-0.008662967,-0.016245997
NLRP5,0.005395137,-0.011062321,-0.016457458
NLRP6,0.02999462,-0.008718929,-0.03871355
NLRP7,0.064317322,0.009089971,-0.055227351
NLRP8,0.111504745,0.084526144,-0.026978602
NLRP9,0.107178727,0.126741493,0.019562766
NLRX1,-0.026440946,-0.114085568,-0.087644623
NMB,0.082139521,0.055020566,-0.027118956
NMBR,0.005302081,0.003062784,-0.002239298
NMD3,-1.227226929,-1.114931874,0.112295055
NME1,-0.156249516,-0.118681506,0.03756801
NME2,-0.348459494,-0.283948732,0.064510762
NME3,-0.150359558,-0.14410938,0.006250178
NME4,-0.099779925,-0.083859063,0.015920862
NME5,-0.320900278,-0.259912386,0.060987892
NME6,-0.32471287,-0.178030298,0.146682572
NME7,0.114547123,0.103635886,-0.010911237
