Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0071824,protein-DNA complex subunit organization,19_GO:0009987 cellular process,-8.4,5,8.1,30242,241,500,20,4,0.88,1062|2960|3009|3159|4171|4609|4869|5888|5889|6599|6601|6605|6908|8208|8289|9013|10629|64425|79003|80152,CENPE|GTF2E1|H1-5|HMGA1|MCM2|MYC|NPM1|RAD51|RAD51C|SMARCC1|SMARCC2|SMARCE1|TBP|CHAF1B|ARID1A|TAF1C|TAF6L|POLR1E|MIS12|CENPT,-6.3,MyList
Reactome Gene Sets,6,R-HSA-162909,Host Interactions of HIV factors,,-8.3,7,8.9,30242,130,500,15,3,0.76,1175|3159|3837|4869|4928|5682|5685|5688|5693|5695|5709|5710|7514|8480|23636,AP2S1|HMGA1|KPNB1|NPM1|NUP98|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|XPO1|RAE1|NUP62,-6.3,MyList
Reactome Gene Sets,6,R-HSA-68867,Assembly of the pre-replicative complex,,-8.3,7,8.9,30242,130,500,15,3,0.76,1869|3837|4171|4172|4173|4174|4999|5001|5682|5685|5688|5693|5695|5709|5710,E2F1|KPNB1|MCM2|MCM3|MCM4|MCM5|ORC2|ORC5|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4,-6.3,MyList
GO Biological Processes,19,GO:0042770,signal transduction in response to DNA damage,19_GO:0023052 signaling,-8.3,6,8.5,30242,172,500,17,3.4,0.81,1017|1432|1869|4193|4194|4869|5514|5883|6615|7023|7919|11200|23028|25988|63967|90381|144715,CDK2|MAPK14|E2F1|MDM2|MDM4|NPM1|PPP1R10|RAD9A|SNAI1|TFAP4|DDX39B|CHEK2|KDM1A|HINFP|CLSPN|TICRR|RAD9B,-6.3,MyList
GO Biological Processes,19,GO:0019827,stem cell population maintenance,19_GO:0032502 developmental process,-8.3,6.9,8.8,30242,131,500,15,3,0.76,2648|4609|4848|4849|6760|8243|9282|9968|10629|23019|23091|27097|56339|57721|79648,KAT2A|MYC|CNOT2|CNOT3|SS18|SMC1A|MED14|MED12|TAF6L|CNOT1|ZC3H13|TAF5L|METTL3|METTL14|MCPH1,-6.3,MyList
WikiPathways,27,WP623,Oxidative phosphorylation,,-8.3,11,9.9,30242,62,500,11,2.2,0.66,515|537|4700|4702|4704|4708|4710|4716|4718|4725|4728,ATP5PB|ATP6AP1|NDUFA6|NDUFA8|NDUFA9|NDUFB2|NDUFB4|NDUFB10|NDUFC2|NDUFS5|NDUFS8,-6.2,MyList
CORUM,33,CORUM:1111,DNA synthesome complex (17 subunits),,-8.3,25,13,30242,17,500,7,1.4,0.53,5424|5425|5557|5558|6117|10714|23649,POLD1|POLD2|PRIM1|PRIM2|RPA1|POLD3|POLA2,-6.2,MyList
CORUM,33,CORUM:1099,DNA synthesome complex (17 subunits),,-8.3,25,13,30242,17,500,7,1.4,0.53,5424|5425|5557|5558|6117|10714|23649,POLD1|POLD2|PRIM1|PRIM2|RPA1|POLD3|POLA2,-6.2,MyList
GO Biological Processes,19,GO:0016074,sno(s)RNA metabolic process,19_GO:0008152 metabolic process,-8.3,25,13,30242,17,500,7,1.4,0.53,1736|5394|23404|51010|54512|56915|118460,DKC1|EXOSC10|EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6,-6.2,MyList
Reactome Gene Sets,6,R-HSA-8878159,Transcriptional regulation by RUNX3,,-8.2,8.2,9.1,30242,96,500,13,2.6,0.71,865|2033|2648|4193|4609|5682|5685|5688|5693|5695|5709|5710|9794,CBFB|EP300|KAT2A|MDM2|MYC|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|MAML1,-6.1,MyList
Reactome Gene Sets,6,R-HSA-6781827,Transcription-Coupled Nucleotide Excision Repair (TC-NER),,-8.2,9.2,9.4,30242,79,500,12,2.4,0.68,902|1022|2033|2071|2968|5424|5425|5983|5984|5985|6117|10714,CCNH|CDK7|EP300|ERCC3|GTF2H4|POLD1|POLD2|RFC3|RFC4|RFC5|RPA1|POLD3,-6.1,MyList
Canonical Pathways,11,M66,PID MYC ACTIV PATHWAY,,-8.2,9.2,9.4,30242,79,500,12,2.4,0.68,790|1981|2033|2648|3159|4609|4869|6135|6615|7037|9913|11235,CAD|EIF4G1|EP300|KAT2A|HMGA1|MYC|NPM1|RPL11|SNAI1|TFRC|SUPT7L|PDCD10,-6.1,MyList
GO Biological Processes,19,GO:1901989,positive regulation of cell cycle phase transition,19_GO:0048518 positive regulation of biological process,-8.1,7.4,8.9,30242,115,500,14,2.8,0.74,896|1981|2146|4193|4869|5356|5514|5889|7027|7919|8317|9587|11200|51433,CCND3|EIF4G1|EZH2|MDM2|NPM1|PLRG1|PPP1R10|RAD51C|TFDP1|DDX39B|CDC7|MAD2L1BP|CHEK2|ANAPC5,-6.1,MyList
GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-8.1,3.2,7.1,30242,630,500,33,6.6,1.1,402|1017|1062|1639|1778|2648|3832|3837|4682|4869|5119|6760|7283|7514|8243|8480|10671|11200|23354|23387|23636|27229|51143|55142|79441|79648|79649|85459|114791|115106|146909|220134|221150,ARL2|CDK2|CENPE|DCTN1|DYNC1H1|KAT2A|KIF11|KPNB1|NUBP1|NPM1|CHMP1A|SS18|TUBG1|XPO1|SMC1A|RAE1|DCTN6|CHEK2|HAUS5|SIK3|NUP62|TUBGCP4|DYNC1LI1|HAUS2|HAUS3|MCPH1|MAP7D3|CEP295|TUBGCP5|HAUS1|KIF18B|SKA1|SKA3,-6.1,MyList
GO Biological Processes,19,GO:0043628,ncRNA 3'-end processing,19_GO:0008152 metabolic process,-8.1,12,10,30242,50,500,10,2,0.63,1736|3028|5394|23404|51010|54512|54931|56915|81556|118460,DKC1|HSD17B10|EXOSC10|EXOSC2|EXOSC3|EXOSC4|TRMT10C|EXOSC5|INTS14|EXOSC6,-6.1,MyList
GO Biological Processes,19,GO:0031123,RNA 3'-end processing,19_GO:0008152 metabolic process,-8.1,7.3,8.8,30242,116,500,14,2.8,0.74,1736|2926|3028|5394|10768|23404|25962|51010|54512|54931|56915|81556|91746|118460,DKC1|GRSF1|HSD17B10|EXOSC10|AHCYL1|EXOSC2|VIRMA|EXOSC3|EXOSC4|TRMT10C|EXOSC5|INTS14|YTHDC1|EXOSC6,-6.1,MyList
CORUM,33,CORUM:441,TFTC-type histone acetyl transferase complex,,-8.1,33,14,30242,11,500,6,1.2,0.49,2648|9282|9439|9862|9968|10025,KAT2A|MED14|MED23|MED24|MED12|MED16,-6.1,MyList
CORUM,33,CORUM:789,Exosome,,-8.1,33,14,30242,11,500,6,1.2,0.49,5394|23404|51010|54512|56915|118460,EXOSC10|EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6,-6.1,MyList
CORUM,33,CORUM:7582,ESR2-TRAP/Mediator coactivator complex,,-8.1,24,12,30242,18,500,7,1.4,0.53,892|2033|9282|9439|9862|9968|10025,CCNC|EP300|MED14|MED23|MED24|MED12|MED16,-6,MyList
CORUM,33,CORUM:7581,ESR1-TRAP/Mediator coactivator-complex,,-8.1,24,12,30242,18,500,7,1.4,0.53,892|2033|9282|9439|9862|9968|10025,CCNC|EP300|MED14|MED23|MED24|MED12|MED16,-6,MyList
Canonical Pathways,11,M279,PID RB 1PATHWAY,,-8,10,9.7,30242,65,500,11,2.2,0.66,632|896|1017|1432|1869|2033|4193|4208|6908|7027|26574,BGLAP|CCND3|CDK2|MAPK14|E2F1|EP300|MDM2|MEF2C|TBP|TFDP1|AATF,-6,MyList
GO Biological Processes,19,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",19_GO:0008152 metabolic process,-8,12,10,30242,51,500,10,2,0.63,4700|4702|4704|4708|4710|4716|4718|4725|4728|100532726,NDUFA6|NDUFA8|NDUFA9|NDUFB2|NDUFB4|NDUFB10|NDUFC2|NDUFS5|NDUFS8|NDUFC2-KCTD14,-6,MyList
Reactome Gene Sets,6,R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,,-8,10,9.6,30242,66,500,11,2.2,0.66,1017|4193|4194|5682|5685|5688|5693|5695|5709|5710|11200,CDK2|MDM2|MDM4|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|CHEK2,-6,MyList
Reactome Gene Sets,6,R-HSA-69563,p53-Dependent G1 DNA Damage Response,,-8,10,9.6,30242,66,500,11,2.2,0.66,1017|4193|4194|5682|5685|5688|5693|5695|5709|5710|11200,CDK2|MDM2|MDM4|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|CHEK2,-6,MyList
GO Biological Processes,19,GO:0007051,spindle organization,19_GO:0009987 cellular process,-8,5.3,8,30242,205,500,18,3.6,0.83,1062|1639|1778|3832|3837|5119|7283|8243|8480|10671|11200|23354|23636|27229|55142|79441|114791|115106,CENPE|DCTN1|DYNC1H1|KIF11|KPNB1|CHMP1A|TUBG1|SMC1A|RAE1|DCTN6|CHEK2|HAUS5|NUP62|TUBGCP4|HAUS2|HAUS3|TUBGCP5|HAUS1,-6,MyList
GO Biological Processes,19,GO:0006401,RNA catabolic process,19_GO:0008152 metabolic process,-7.9,4.5,7.7,30242,281,500,21,4.2,0.9,1432|1736|1869|2926|4848|4849|4869|5394|11157|22794|23019|23404|51010|51441|51690|54512|56339|56915|57721|57819|118460,MAPK14|DKC1|E2F1|GRSF1|CNOT2|CNOT3|NPM1|EXOSC10|LSM6|CASC3|CNOT1|EXOSC2|EXOSC3|YTHDF2|LSM7|EXOSC4|METTL3|EXOSC5|METTL14|LSM2|EXOSC6,-5.9,MyList
Reactome Gene Sets,6,R-HSA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange,,-7.9,14,10,30242,39,500,9,1.8,0.59,5883|5888|5889|5932|5983|5984|5985|6117|144715,RAD9A|RAD51|RAD51C|RBBP8|RFC3|RFC4|RFC5|RPA1|RAD9B,-5.9,MyList
Reactome Gene Sets,6,R-HSA-69615,G1/S DNA Damage Checkpoints,,-7.8,9.8,9.4,30242,68,500,11,2.2,0.66,1017|4193|4194|5682|5685|5688|5693|5695|5709|5710|11200,CDK2|MDM2|MDM4|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|CHEK2,-5.8,MyList
GO Biological Processes,19,GO:0006402,mRNA catabolic process,19_GO:0048519 negative regulation of biological process,-7.8,4.9,7.8,30242,235,500,19,3.8,0.86,1432|1869|4848|4849|4869|5394|11157|22794|23019|23404|51010|51441|51690|54512|56339|56915|57721|57819|118460,MAPK14|E2F1|CNOT2|CNOT3|NPM1|EXOSC10|LSM6|CASC3|CNOT1|EXOSC2|EXOSC3|YTHDF2|LSM7|EXOSC4|METTL3|EXOSC5|METTL14|LSM2|EXOSC6,-5.8,MyList
GO Biological Processes,19,GO:0033044,regulation of chromosome organization,19_GO:0050789 regulation of biological process,-7.8,5.5,8,30242,187,500,17,3.4,0.81,1062|1663|1736|4171|4609|5394|5514|9587|51143|51433|54552|55196|55781|56252|64682|65057|79648,CENPE|DDX11|DKC1|MCM2|MYC|EXOSC10|PPP1R10|MAD2L1BP|DYNC1LI1|ANAPC5|GNL3L|RESF1|RIOK2|YLPM1|ANAPC1|ACD|MCPH1,-5.8,MyList
GO Biological Processes,19,GO:0000727,double-strand break repair via break-induced replication,19_GO:0050896 response to stimulus,-7.8,30,13,30242,12,500,6,1.2,0.49,4171|4172|4173|4174|8317|84296,MCM2|MCM3|MCM4|MCM5|CDC7|GINS4,-5.8,MyList
GO Biological Processes,19,GO:0007346,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-7.8,3.6,7.1,30242,460,500,27,5.4,1,896|1017|1062|1869|1981|2071|2146|3209|4193|5356|5514|5883|5889|7023|7027|8317|9587|11200|23636|26574|51143|51433|54475|55781|63967|90381|144715,CCND3|CDK2|CENPE|E2F1|EIF4G1|ERCC3|EZH2|HOXA13|MDM2|PLRG1|PPP1R10|RAD9A|RAD51C|TFAP4|TFDP1|CDC7|MAD2L1BP|CHEK2|NUP62|AATF|DYNC1LI1|ANAPC5|NLE1|RIOK2|CLSPN|TICRR|RAD9B,-5.8,MyList
GO Biological Processes,19,GO:1903311,regulation of mRNA metabolic process,19_GO:0050789 regulation of biological process,-7.7,4.4,7.5,30242,288,500,21,4.2,0.9,1432|1869|4848|4849|4869|4928|5725|10768|10772|23019|23404|25962|27316|51010|51441|56339|56915|57721|79171|91746|494115,MAPK14|E2F1|CNOT2|CNOT3|NPM1|NUP98|PTBP1|AHCYL1|SRSF10|CNOT1|EXOSC2|VIRMA|RBMX|EXOSC3|YTHDF2|METTL3|EXOSC5|METTL14|RBM42|YTHDC1|RBMXL1,-5.8,MyList
Reactome Gene Sets,6,R-HSA-5696400,Dual Incision in GG-NER,,-7.7,13,10,30242,41,500,9,1.8,0.59,2071|2968|5424|5425|5983|5984|5985|6117|10714,ERCC3|GTF2H4|POLD1|POLD2|RFC3|RFC4|RFC5|RPA1|POLD3,-5.7,MyList
Reactome Gene Sets,6,R-HSA-8941858,Regulation of RUNX3 expression and activity,,-7.7,11,9.6,30242,55,500,10,2,0.63,865|2033|4193|5682|5685|5688|5693|5695|5709|5710,CBFB|EP300|MDM2|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4,-5.7,MyList
Reactome Gene Sets,6,R-HSA-5693579,Homologous DNA Pairing and Strand Exchange,,-7.6,13,10,30242,42,500,9,1.8,0.59,5883|5888|5889|5932|5983|5984|5985|6117|144715,RAD9A|RAD51|RAD51C|RBBP8|RFC3|RFC4|RFC5|RPA1|RAD9B,-5.6,MyList
GO Biological Processes,19,GO:0000055,ribosomal large subunit export from nucleus,19_GO:0051179 localization,-7.6,43,14,30242,7,500,5,1,0.44,4869|7514|23212|51068|55153,NPM1|XPO1|RRS1|NMD3|SDAD1,-5.6,MyList
Reactome Gene Sets,6,R-HSA-9010553,Regulation of expression of SLITs and ROBOs,,-7.5,5.7,7.9,30242,171,500,16,3.2,0.79,1981|5682|5685|5688|5693|5695|5709|5710|6135|6158|6173|6202|6218|6232|6234|22794,EIF4G1|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|RPL11|RPL28|RPL36A|RPS8|RPS17|RPS27|RPS28|CASC3,-5.6,MyList
GO Biological Processes,19,GO:0032981,mitochondrial respiratory chain complex I assembly,19_GO:0009987 cellular process,-7.5,11,9.4,30242,57,500,10,2,0.63,4700|4702|4704|4708|4710|4716|4718|4725|4728|79133,NDUFA6|NDUFA8|NDUFA9|NDUFB2|NDUFB4|NDUFB10|NDUFC2|NDUFS5|NDUFS8|NDUFAF5,-5.5,MyList
Reactome Gene Sets,6,R-HSA-69541,Stabilization of p53,,-7.5,11,9.4,30242,57,500,10,2,0.63,4193|4194|5682|5685|5688|5693|5695|5709|5710|11200,MDM2|MDM4|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|CHEK2,-5.5,MyList
GO Biological Processes,19,GO:0010257,NADH dehydrogenase complex assembly,19_GO:0009987 cellular process,-7.5,11,9.4,30242,57,500,10,2,0.63,4700|4702|4704|4708|4710|4716|4718|4725|4728|79133,NDUFA6|NDUFA8|NDUFA9|NDUFB2|NDUFB4|NDUFB10|NDUFC2|NDUFS5|NDUFS8|NDUFAF5,-5.5,MyList
Reactome Gene Sets,6,R-HSA-113510,E2F mediated regulation of DNA replication,,-7.5,20,11,30242,21,500,7,1.4,0.53,1869|4999|5001|5557|5558|7027|23649,E2F1|ORC2|ORC5|PRIM1|PRIM2|TFDP1|POLA2,-5.5,MyList
Reactome Gene Sets,6,R-HSA-5651801,PCNA-Dependent Long Patch Base Excision Repair,,-7.5,20,11,30242,21,500,7,1.4,0.53,5424|5425|5983|5984|5985|6117|10714,POLD1|POLD2|RFC3|RFC4|RFC5|RPA1|POLD3,-5.5,MyList
GO Biological Processes,19,GO:0071027,nuclear RNA surveillance,19_GO:0008152 metabolic process,-7.5,28,13,30242,13,500,6,1.2,0.49,5394|23404|51010|54512|56915|118460,EXOSC10|EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6,-5.5,MyList
GO Biological Processes,19,GO:0071028,nuclear mRNA surveillance,19_GO:0048519 negative regulation of biological process,-7.5,28,13,30242,13,500,6,1.2,0.49,5394|23404|51010|54512|56915|118460,EXOSC10|EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6,-5.5,MyList
Reactome Gene Sets,6,R-HSA-2564830,Cytosolic iron-sulfur cluster assembly,,-7.5,28,13,30242,13,500,6,1.2,0.49,22|4682|5424|51647|64210|64428,ABCB7|NUBP1|POLD1|CIAO2B|MMS19|CIAO3,-5.5,MyList
GO Biological Processes,19,GO:0034655,nucleobase-containing compound catabolic process,19_GO:0008152 metabolic process,-7.5,3.7,7.1,30242,412,500,25,5,0.97,1432|1736|1869|2926|4507|4848|4849|4869|5394|9131|11157|11219|22794|23019|23404|25939|51010|51441|51690|54512|56339|56915|57721|57819|118460,MAPK14|DKC1|E2F1|GRSF1|MTAP|CNOT2|CNOT3|NPM1|EXOSC10|AIFM1|LSM6|TREX2|CASC3|CNOT1|EXOSC2|SAMHD1|EXOSC3|YTHDF2|LSM7|EXOSC4|METTL3|EXOSC5|METTL14|LSM2|EXOSC6,-5.5,MyList
Reactome Gene Sets,6,R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,,-7.5,9.1,9,30242,73,500,11,2.2,0.66,1017|5682|5685|5688|5693|5695|5709|5710|7324|51433|64682,CDK2|PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|UBE2E1|ANAPC5|ANAPC1,-5.5,MyList
CORUM,33,CORUM:178,"Respiratory chain complex I (holoenzyme), mitochondrial",,-7.4,12,9.8,30242,44,500,9,1.8,0.59,4700|4702|4704|4708|4710|4716|4718|4725|4728,NDUFA6|NDUFA8|NDUFA9|NDUFB2|NDUFB4|NDUFB10|NDUFC2|NDUFS5|NDUFS8,-5.5,MyList
GO Biological Processes,19,GO:0022616,DNA strand elongation,19_GO:0008152 metabolic process,-7.4,19,11,30242,22,500,7,1.4,0.53,4172|4173|5425|5983|5984|9837|10714,MCM3|MCM4|POLD2|RFC3|RFC4|GINS1|POLD3,-5.4,MyList
KEGG Pathway,24,ko03022,Basal transcription factors,,-7.3,12,9.7,30242,45,500,9,1.8,0.59,902|1022|2071|2960|2961|2968|6908|10629|27097,CCNH|CDK7|ERCC3|GTF2E1|GTF2E2|GTF2H4|TBP|TAF6L|TAF5L,-5.4,MyList
GO Biological Processes,19,GO:0033108,mitochondrial respiratory chain complex assembly,19_GO:0009987 cellular process,-7.3,7.8,8.5,30242,93,500,12,2.4,0.68,4700|4702|4704|4708|4710|4716|4718|4725|4728|7019|9131|79133,NDUFA6|NDUFA8|NDUFA9|NDUFB2|NDUFB4|NDUFB10|NDUFC2|NDUFS5|NDUFS8|TFAM|AIFM1|NDUFAF5,-5.4,MyList
GO Biological Processes,19,GO:0046034,ATP metabolic process,19_GO:0008152 metabolic process,-7.3,4.4,7.3,30242,277,500,20,4,0.88,402|405|515|2033|2395|2821|3692|4700|4702|4704|4708|4710|4716|4718|4725|4728|4967|29796|221937|100532726,ARL2|ARNT|ATP5PB|EP300|FXN|GPI|EIF6|NDUFA6|NDUFA8|NDUFA9|NDUFB2|NDUFB4|NDUFB10|NDUFC2|NDUFS5|NDUFS8|OGDH|UQCR10|FOXK1|NDUFC2-KCTD14,-5.4,MyList
GO Biological Processes,19,GO:0006302,double-strand break repair,19_GO:0050896 response to stimulus,-7.3,4.6,7.4,30242,251,500,19,3.8,0.86,1663|4171|4172|4173|4174|5888|5889|5932|6117|8317|8914|11200|23028|23514|25939|51366|64210|84296|353497,DDX11|MCM2|MCM3|MCM4|MCM5|RAD51|RAD51C|RBBP8|RPA1|CDC7|TIMELESS|CHEK2|KDM1A|SPIDR|SAMHD1|UBR5|MMS19|GINS4|POLN,-5.4,MyList
WikiPathways,27,WP5114,Nucleotide excision repair in xeroderma pigmentosum,,-7.3,8.8,8.8,30242,76,500,11,2.2,0.66,902|1022|2071|2968|5424|5425|5983|5984|5985|6117|10714,CCNH|CDK7|ERCC3|GTF2H4|POLD1|POLD2|RFC3|RFC4|RFC5|RPA1|POLD3,-5.4,MyList
GO Biological Processes,19,GO:2000036,regulation of stem cell population maintenance,19_GO:0032502 developmental process,-7.3,15,10,30242,33,500,8,1.6,0.56,2648|4609|4848|4849|10629|23019|23091|27097,KAT2A|MYC|CNOT2|CNOT3|TAF6L|CNOT1|ZC3H13|TAF5L,-5.3,MyList
GO Biological Processes,19,GO:1902969,mitotic DNA replication,19_GO:0008152 metabolic process,-7.3,26,12,30242,14,500,6,1.2,0.49,4171|4172|4173|5888|9837|64785,MCM2|MCM3|MCM4|RAD51|GINS1|GINS3,-5.3,MyList
CORUM,33,CORUM:549,DRIP complex,,-7.3,26,12,30242,14,500,6,1.2,0.49,9282|9439|9862|9968|10025|29079,MED14|MED23|MED24|MED12|MED16|MED4,-5.3,MyList
CORUM,33,CORUM:548,DRIP complex,,-7.3,26,12,30242,14,500,6,1.2,0.49,9282|9439|9862|9968|10025|29079,MED14|MED23|MED24|MED12|MED16|MED4,-5.3,MyList
CORUM,33,CORUM:547,SMCC complex,,-7.3,26,12,30242,14,500,6,1.2,0.49,892|9282|9862|9968|10025|29079,CCNC|MED14|MED24|MED12|MED16|MED4,-5.3,MyList
CORUM,33,CORUM:287,ARC-L complex,,-7.3,26,12,30242,14,500,6,1.2,0.49,892|9282|9439|9862|9968|81857,CCNC|MED14|MED23|MED24|MED12|MED25,-5.3,MyList
Reactome Gene Sets,6,R-HSA-168255,Influenza Infection,,-7.3,5.8,7.8,30242,156,500,15,3,0.76,2926|3837|3838|3840|4928|6135|6158|6173|6202|6218|6232|6234|7514|8480|23636,GRSF1|KPNB1|KPNA2|KPNA4|NUP98|RPL11|RPL28|RPL36A|RPS8|RPS17|RPS27|RPS28|XPO1|RAE1|NUP62,-5.3,MyList
WikiPathways,27,WP531,DNA mismatch repair,,-7.2,18,11,30242,23,500,7,1.4,0.53,5424|5425|5983|5984|5985|6117|10714,POLD1|POLD2|RFC3|RFC4|RFC5|RPA1|POLD3,-5.3,MyList
KEGG Pathway,24,ko03430,Mismatch repair,,-7.2,18,11,30242,23,500,7,1.4,0.53,5424|5425|5983|5984|5985|6117|10714,POLD1|POLD2|RFC3|RFC4|RFC5|RPA1|POLD3,-5.3,MyList
GO Biological Processes,19,GO:0000819,sister chromatid segregation,19_GO:0009987 cellular process,-7.2,5,7.5,30242,205,500,17,3.4,0.81,1062|1663|3837|5119|5889|7283|8243|9587|23212|23636|51143|51433|55165|55781|64682|79003|146909,CENPE|DDX11|KPNB1|CHMP1A|RAD51C|TUBG1|SMC1A|MAD2L1BP|RRS1|NUP62|DYNC1LI1|ANAPC5|CEP55|RIOK2|ANAPC1|MIS12|KIF18B,-5.3,MyList
Reactome Gene Sets,6,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,,-7.2,7.6,8.3,30242,96,500,12,2.4,0.68,1062|1778|1781|4928|6232|7514|11243|51143|79003|80152|220134|100527963,CENPE|DYNC1H1|DYNC1I2|NUP98|RPS27|XPO1|PMF1|DYNC1LI1|MIS12|CENPT|SKA1|PMF1-BGLAP,-5.3,MyList
Reactome Gene Sets,6,R-HSA-141424,Amplification of signal from the kinetochores,,-7.2,7.6,8.3,30242,96,500,12,2.4,0.68,1062|1778|1781|4928|6232|7514|11243|51143|79003|80152|220134|100527963,CENPE|DYNC1H1|DYNC1I2|NUP98|RPS27|XPO1|PMF1|DYNC1LI1|MIS12|CENPT|SKA1|PMF1-BGLAP,-5.3,MyList
GO Biological Processes,19,GO:0034475,U4 snRNA 3'-end processing,19_GO:0008152 metabolic process,-7.2,38,13,30242,8,500,5,1,0.44,23404|51010|54512|56915|118460,EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6,-5.3,MyList
GO Biological Processes,19,GO:0045787,positive regulation of cell cycle,19_GO:0048518 positive regulation of biological process,-7.1,4.1,7.1,30242,313,500,21,4.2,0.9,896|1663|1778|1981|2146|3209|4193|4869|5356|5514|5889|7027|7919|8317|9587|11200|23636|51143|51433|85459|100381270,CCND3|DDX11|DYNC1H1|EIF4G1|EZH2|HOXA13|MDM2|NPM1|PLRG1|PPP1R10|RAD51C|TFDP1|DDX39B|CDC7|MAD2L1BP|CHEK2|NUP62|DYNC1LI1|ANAPC5|CEP295|ZBED6,-5.2,MyList
Reactome Gene Sets,6,R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,,-7.1,11,9.3,30242,48,500,9,1.8,0.59,1017|1869|2033|4848|4849|4869|7027|10498|23019,CDK2|E2F1|EP300|CNOT2|CNOT3|NPM1|TFDP1|CARM1|CNOT1,-5.2,MyList
KEGG Pathway,24,hsa03022,Basal transcription factors,,-7.1,11,9.3,30242,48,500,9,1.8,0.59,902|1022|2071|2960|2961|2968|6908|10629|27097,CCNH|CDK7|ERCC3|GTF2E1|GTF2E2|GTF2H4|TBP|TAF6L|TAF5L,-5.2,MyList
GO Biological Processes,19,GO:0071025,RNA surveillance,19_GO:0008152 metabolic process,-7.1,24,12,30242,15,500,6,1.2,0.49,5394|23404|51010|54512|56915|118460,EXOSC10|EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6,-5.1,MyList
CORUM,33,CORUM:1108,DNA synthesome complex (15 subunits),,-7.1,24,12,30242,15,500,6,1.2,0.49,5424|5425|5557|5558|10714|23649,POLD1|POLD2|PRIM1|PRIM2|POLD3|POLA2,-5.1,MyList
CORUM,33,CORUM:288,ARC complex,,-7.1,24,12,30242,15,500,6,1.2,0.49,892|9282|9439|9862|9968|81857,CCNC|MED14|MED23|MED24|MED12|MED25,-5.1,MyList
GO Biological Processes,19,GO:0006268,DNA unwinding involved in DNA replication,19_GO:0008152 metabolic process,-7.1,24,12,30242,15,500,6,1.2,0.49,3159|4171|4173|5888|6117|56652,HMGA1|MCM2|MCM4|RAD51|RPA1|TWNK,-5.1,MyList
CORUM,33,CORUM:430,18S U11/U12 snRNP,,-7.1,18,11,30242,24,500,7,1.4,0.53,6632|6634|6637|10594|10992|23450|83443,SNRPD1|SNRPD3|SNRPG|PRPF8|SF3B2|SF3B3|SF3B5,-5.1,MyList
GO Biological Processes,19,GO:0043414,macromolecule methylation,19_GO:0008152 metabolic process,-7,4,7,30242,317,500,21,4.2,0.9,2146|3009|3028|4297|4609|4839|6634|9682|9739|10498|23028|23091|23512|25962|27292|54931|56339|57721|79813|79872|114049,EZH2|H1-5|HSD17B10|KMT2A|MYC|NOP2|SNRPD3|KDM4A|SETD1A|CARM1|KDM1A|ZC3H13|SUZ12|VIRMA|DIMT1|TRMT10C|METTL3|METTL14|EHMT1|CBLL1|BUD23,-5.1,MyList
Reactome Gene Sets,6,R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,,-7,9.5,8.8,30242,64,500,10,2,0.63,5682|5685|5688|5693|5695|5709|5710|7324|51433|64682,PSMA1|PSMA4|PSMA7|PSMB5|PSMB7|PSMD3|PSMD4|UBE2E1|ANAPC5|ANAPC1,-5.1,MyList
