,0,1,bc
236,5.628188,-1.2542962,E2 w/d 0h
237,3.9940996,3.6394293,E2 w/d 12h
238,1.6693696,-4.5763893,E2 w/d 0h
239,-0.48621666,5.101445,E2 w/d 24h
240,2.4515405,7.4976163,E2 w/d 12h
241,2.0909839,-5.656622,E2 w/d 0h
242,-0.8933619,5.649814,E2 w/d 24h
243,0.4751642,-5.667488,E2 w/d 0h
244,1.5630217,-3.3879855,E2 w/d 0h
245,-8.595632,2.5067427,E2 w/d 48h
246,1.9884573,5.3066125,E2 w/d 12h
247,-0.55202675,-6.757208,E2 w/d 0h
248,-0.26948646,2.847386,E2 w/d 24h
249,0.5936132,-0.18305215,E2 w/d 24h
250,-1.7311577,6.090298,E2 w/d 24h
251,1.4630047,-5.071579,E2 w/d 0h
252,3.359208,7.0710406,E2 w/d 12h
253,3.0175807,-2.371108,E2 w/d 0h
254,-0.8487451,-6.509957,E2 w/d 0h
255,-8.846627,2.5220244,E2 w/d 48h
256,-1.9302095,1.595347,E2 w/d 24h
257,3.18816,3.5372345,E2 w/d 12h
258,-3.9668434,1.4095918,E2 w/d 24h
259,-1.0828145,4.599017,E2 w/d 24h
260,4.169079,2.5964274,E2 w/d 12h
261,4.3137054,-4.3947287,E2 w/d 0h
262,-1.1203651,-4.817743,E2 w/d 0h
263,-0.28702942,4.2053943,E2 w/d 24h
264,2.6127877,7.7186737,E2 w/d 12h
265,-2.0229127,3.0841782,E2 w/d 24h
266,-6.6798816,0.518232,E2 w/d 48h
267,5.3721943,-3.0205193,E2 w/d 0h
268,-6.1833096,4.959539,E2 w/d 48h
269,3.487382,2.7163718,E2 w/d 12h
270,-0.8302153,2.1659038,E2 w/d 24h
271,-1.4087023,-5.5540757,E2 w/d 0h
272,-6.499765,4.9723577,E2 w/d 48h
273,-1.0917271,2.7016053,E2 w/d 24h
274,0.46311286,-3.0219193,E2 w/d 0h
275,0.8075711,-4.2392898,E2 w/d 0h
276,-0.48229015,-3.4262133,E2 w/d 0h
277,2.65792,-4.8670063,E2 w/d 0h
278,-1.5579672,2.915227,E2 w/d 24h
279,-6.4094915,4.711894,E2 w/d 48h
280,-3.5854576,-0.060501054,E2 w/d 24h
281,-0.51100296,2.1315944,E2 w/d 24h
282,0.41932344,-4.2298546,E2 w/d 0h
283,2.724101,-4.940496,E2 w/d 0h
