"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sh3glb1",-1.27208239917246,6.23223142869799,-10.9757344790352,4.27120786453784e-12,1.46701300807658e-10,17.1962362527376
"8430408G22Rik",-7.31274482947573,1.08726167410816,-10.9502264447868,4.52112052476643e-12,1.54062225126096e-10,15.2452774198649
"Pkib",-3.01039538010484,1.88522747058615,-10.9370517180438,4.65602010111189e-12,1.58243740766324e-10,17.4573199569421
"Thy1",-2.06611210732587,1.42831133380201,-10.9237085119817,4.79685359724451e-12,1.62181120450587e-10,17.520537414716
"Psd3",-1.77504489578965,4.16297839646474,-10.916362594923,4.87624371532183e-12,1.64437070535126e-10,17.3236688853224
"Col4a2",-1.90039676480116,2.58034075944711,-10.8466953356972,5.69954639479793e-12,1.91077775258296e-10,17.3469565412218
"Capn5",-1.33608504218139,5.30864855894251,-10.8458471240318,5.71040412849256e-12,1.91077775258296e-10,17.0797847487446
"Twsg1",-1.05243494147204,5.55689723997196,-10.842153977335,5.75792677283132e-12,1.92172656276784e-10,16.9560462137053
"Traf4",-1.59952285753884,2.89622325931671,-10.7895637556563,6.48037888449014e-12,2.13539997607451e-10,17.1525859216647
"Shisa2",-1.52565035711924,4.82170323920428,-10.7850618534553,6.54638864222388e-12,2.15169022131627e-10,17.0470951864708
"Rab43",-1.27003632565212,5.51289960924166,-10.7210241794574,7.56361527106699e-12,2.46729691116238e-10,16.7329189874215
"Inhbb",-6.10935116137433,0.11538968379237,-10.7139381838192,7.68571429695399e-12,2.50084282499633e-10,14.3390846618109
"Kansl1l",-1.07770481966305,5.34989952285213,-10.7013802111463,7.90708598660177e-12,2.56644243410127e-10,16.654438660452
"Osbpl5",-1.3010777622962,4.85035069777476,-10.6689544030295,8.50940735395126e-12,2.74138053787467e-10,16.7154188890721
"Lrrc8c",-1.09957782376325,6.1142228749652,-10.6549716572511,8.78346172572408e-12,2.82151930860579e-10,16.4593361206914
"Gimap5",-3.39917352304643,0.837625500197387,-10.5940041728147,1.00882389745965e-11,3.20233756985786e-10,16.6442400176045
"Smtn",-1.4608724797128,5.28170534428823,-10.5760845529729,1.05083245665308e-11,3.3113975205648e-10,16.3827755614539
"Krt80",-1.53396277308085,5.11524247503935,-10.5597899720306,1.09058666868729e-11,3.42835029529468e-10,16.3734483294119
"Rhoq",-1.31276902255948,5.44502116592942,-10.5153522559291,1.20702011064401e-11,3.76700531165652e-10,16.2440010636566
