"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm8369",3.23852610740768,-0.986778545164363,7.82721682386085,8.99135192438667e-09,4.36718002373035e-08,9.86015481617269
"Serpinb8",3.22751973404781,0.633885039345059,7.82683937875482,9.00029408841399e-09,4.36825488410762e-08,10.1523397399818
"Isoc2b",1.98467878274206,1.94997828631284,7.77760844271754,1.02477811967333e-08,4.92584018056971e-08,10.0017065793678
"Gm12523",3.24637811618656,-0.863308892267052,7.77558233125819,1.03027380472554e-08,4.95042368865718e-08,9.53045845258602
"Pmaip1",1.30968133920506,5.20607502264535,7.77262605518078,1.03834634786726e-08,4.98736612443974e-08,9.562703522464
"Rarg",2.17998385528025,1.68139526787014,7.76475208736934,1.06016281994429e-08,5.08504882904921e-08,9.99903016829435
"AF251705",2.47543817270899,2.10160042965968,7.75532436153135,1.08689893759837e-08,5.20324812199099e-08,9.97377268935141
"Slc29a3",1.04517449075104,4.89253175667968,7.75404322568068,1.09058469155859e-08,5.21896831939003e-08,9.5586714493891
"Irgm2",2.78609116357471,3.3101039834892,7.74520746644792,1.1163533775051e-08,5.33638287928891e-08,9.88482768470313
"Nat9",1.01272797023033,3.48903545859995,7.7334916151006,1.15147978756918e-08,5.49216094122358e-08,9.62222263248226
"Lrsam1",1.26517919480407,3.23388182030255,7.72451413308386,1.17915548684167e-08,5.62003512689624e-08,9.73369455247842
"Rbm47",3.2220738483636,2.06605123387927,7.71332762683372,1.21459044374607e-08,5.76986012848712e-08,9.81035028285956
"Pik3r6",1.36251090714938,4.10248602482255,7.7100005203031,1.22533717501617e-08,5.81240502127693e-08,9.52852075265935
"Pde10a",8.31414097226629,-0.1515662770338,7.70947562086864,1.22704144111039e-08,5.81836341487808e-08,7.44969404193404
"Fam214b",2.54215270623821,2.26434091715112,7.70141696072125,1.2535114437099e-08,5.93304377458464e-08,9.84167800802062
"Aplnr",8.58216188856791,0.227950470541219,7.6930773525334,1.28151625138056e-08,6.04795546771129e-08,6.87640409743075
"Plgrkt",1.06189443695934,4.88371783902103,7.6857771021714,1.30655294738561e-08,6.15716040504804e-08,9.36744186104993
"Tmed8",1.06966611766909,4.7280337081064,7.68161508598305,1.32104898582028e-08,6.22095719365424e-08,9.4121005498842
"Speg",2.54370608384709,1.60941163752639,7.66983866779775,1.36295820465162e-08,6.3974281890788e-08,9.75838107883938
"Mir7678",1.37162433532939,2.83600249118621,7.6667140673116,1.37430317546512e-08,6.44369018673297e-08,9.69200603167455
"Atg16l2",1.45436760837568,2.4095833023376,7.65647844858416,1.4121443930054e-08,6.6068002358159e-08,9.67436434789495
"Slc14a1",3.62039061264173,-1.15905386041148,7.65200511001003,1.42901356341472e-08,6.67850363348212e-08,9.41264589849551
"Mir7676-1",2.89088021496556,0.0945192236342768,7.63415565226483,1.49839088192898e-08,6.98012515970002e-08,9.24528573791775
"Tctex1d2",1.03728593368414,4.19924713734933,7.63332489376004,1.5017020690641e-08,6.99304087613316e-08,9.27953352797977
"Lrp4",2.18618259532019,2.15879367010552,7.6321421402965,1.50642905996478e-08,7.01002454678233e-08,9.65917672879169
"Ddx58",2.47408857383632,3.73157695008289,7.62834650276123,1.52170115107645e-08,7.07601935688592e-08,9.4824779064327
"Agl",1.02572455067238,5.61846583922049,7.62474926353921,1.53632029167721e-08,7.14144158497861e-08,9.10981784757656
"Slc7a8",1.8071119553397,3.72056765346414,7.6239505299303,1.53958566754911e-08,7.15405895554406e-08,9.56802299310228
"Tmem104",1.16756580390571,4.54985623999941,7.57709843258606,1.7440136786419e-08,8.05163164797324e-08,9.1290948119331
"B430306N03Rik",2.15472751627444,3.50178005872371,7.55400452043355,1.85473054815888e-08,8.53294355306405e-08,9.41797251198347
"Fam135b",2.16383191444748,1.96789714552766,7.54227486951922,1.91367542026332e-08,8.76684826438911e-08,9.41255257822844
"Slc2a6",1.39150318291126,4.72835156933897,7.53580870524718,1.94698053831599e-08,8.8880620003363e-08,8.947388833938
"Map1lc3a",1.35807606268891,2.0666385882874,7.51053269173849,2.08292365039519e-08,9.46207059240054e-08,9.27077788612425
"Wdr66",3.4140009953662,-2.37000925148461,7.50926440107081,2.08999384191079e-08,9.49086745348995e-08,8.89389306690408
"Havcr2",2.90905953807844,0.494043528764836,7.50155469326432,2.13350025243643e-08,9.65803130313186e-08,9.30978466225745
"Gm29284",1.7140325713844,3.13856720139903,7.49901349377937,2.14804124124512e-08,9.72046686479102e-08,9.24199977542847
"Ltb4r1",2.2674751054351,3.71380642645172,7.49863675281506,2.15020554739478e-08,9.72687059993951e-08,9.21129807064986
"Obfc1",1.4581961719963,2.44856951221753,7.47230759263637,2.30708549698552e-08,1.03571545668613e-07,9.16407632562719
"Rasgrp4",1.43187960284025,3.74395748134294,7.46430312857061,2.35704886177226e-08,1.05449915135731e-07,8.96284324674115
