,1_DMSO_rep1,2_DMSO_rep2,3_DMSO_rep3,4_HU_rep1,5_HU_rep2,6_HU_rep3,7_dA_rep1,8_dA_rep2,9_dA_rep3,10_dC_rep1,11_dC_rep2,12_dC_rep3,13_dG_rep1,14_dG_rep2,15_dG_rep3,16_T_rep1,17_T_rep2,18_T_rep3,19_rA_rep1,20_rA_rep2,21_rA_rep3,22_rC_rep1,23_rC_rep2,24_rC_rep3,25_rG_rep1,26_rG_rep2,27_rG_rep3,28_rU_rep1,29_rU_rep2,30_rU_rep3,31_rU10_rep1,32_rU10_rep2,33_rU10_rep3,34_rot_rep1,35_rot_rep2,36_rot_rep3,37_rot_hxu_rep1,38_rot_hxui_rep2,39_rot_hxu_rep3
dihydroorotate,NA,0.499809738248294,-0.771094074046296,1.32038557138784,-0.241169765675041,2.53756121782666,NA,0.203020497793845,1.57047392021111,2.20128860789362,2.20895982676479,2.42712059099911,1.25032125871749,0.316071199882103,-0.51553964078854,2.26748962760723,-1.57876418613818,0.777990646700611,NA,-1.27158730261004,-0.268511316892418,2.02826040234635,1.29519668086094,1.22043828864498,NA,1.5570640294502,0.556964131206227,1.68068274067438,0.859752769693272,NA,-0.122104290096828,-1.11297938298289,0.643995559212827,0.292086808038578,1.78147211188263,2.23494765924291,NA,NA,NA
dihydroxyacetone_phosphate,-0.397404382333712,0,0.0831188493617833,-0.417634487916464,0.496262488719645,1.21212558412969,-0.00981801174592261,-0.366971009105921,-0.150506386134643,-0.322169536104104,-0.784741550025216,-0.327651687444688,-0.685382406971566,-0.954772211345861,-0.650476885210649,-0.713992085848068,-1.05721108518157,-0.680812287234417,0.0762137624153768,0.743672899033596,0.358105480319141,-0.310964573797651,-0.601033871713834,-0.61159841162934,0.183000549103845,0.214987945562845,0.323102799759981,-1.03864058775982,-0.780789138625436,-0.941254440808198,-0.726112191728098,-0.0770431697529763,-0.131729899789316,-1.638813519931,-1.83412584404218,-1.37876651202813,-6.17692566357373,-6.2057014115117,-4.7561117722609
dTDP,0.0697816729856094,-0.0329397332615856,0,-1.43715949297725,-0.158025802374023,0.228116492511076,-2.77496292746745,-0.629703546559368,-0.784542330969366,0.933501659380708,1.34952087541604,1.80584380768084,-3.07571655468322,NA,NA,5.58724802614316,5.4757314768393,5.73793570362939,NA,-3.27725010415454,NA,0.66839136258811,1.17656935465956,1.24673563025513,NA,NA,NA,0.531034891466585,0.292963731304742,0.911915590070787,0.133042184220871,-0.303852430332016,0.887284954251154,2.50978281508029,2.64659968793427,2.22597833539075,-3.42015860802936,NA,-1.92089096448157
dTMP,0,-0.138386208221111,0.156752420193638,-2.145075867661,-1.97112482432175,-2.24590568355951,-0.196185392023947,0.469044698229543,0.662655305426626,1.81902790852978,1.83396626974184,2.03573166392194,-3.55482717197277,-3.14797662813737,-3.23879120717443,8.53081956944823,8.46943299662092,8.69407344429498,-2.64847196498241,-2.33648256736732,-2.367194683179,0.235899974504094,0.576349769813634,0.432939996025928,-4.12451461536161,-3.8560343130534,-4.4303907045513,0.463950477180603,0.248608916094386,0.324125426263092,0.550068741673552,0.578733665613294,0.673208274895974,-0.160433973210576,-0.447417468135556,-0.0865982829614012,-2.3574555997775,-3.20972220070157,-2.59767191458569
dTTP,0,-0.0659501848090305,0.0030905838334638,-0.361256754005845,-0.29718002767643,-0.63354842429161,-1.16120299891689,-1.038529619009,-1.17734009301756,0.836794354044549,0.685248047512012,0.534926147426792,-4.26371465224605,-4.04884500395024,-4.72608215178893,3.18185372684226,3.0462701323841,3.09320936084183,-1.72097036930521,-1.54055638664625,-1.93630205557869,0.314412852788087,0.230314950871516,0.0500184783179879,-3.92244106312709,-4.07151587059489,-4.35892361573873,0.202896590310224,-0.170576234482574,-0.313541787234603,-0.654040744052052,-0.663434440518105,-0.848477456108752,-2.32742781124003,-2.86200923885384,-2.88724380478894,NA,NA,NA
dUMP,-0.233520975184273,0,0.419978051701906,NA,NA,NA,-2.44218528677386,-2.87579811674304,-1.96824104203113,3.64276242297333,3.56948816812287,3.77492871794605,NA,NA,NA,-4.51477301287503,-2.27986854311345,-1.11272796099412,-0.2299475556623,-0.261183061679251,-0.311871789832628,0.403652209748588,0.338753496217838,-0.196165545847427,NA,-5.22869813291961,-4.39087045679997,-1.45219635900754,-2.13190472631361,-1.60978877661852,-1.34244833151557,-2.02207544352482,-1.05890890041605,NA,NA,NA,NA,NA,NA
erythrose_4-phosphate,0,-0.516902678701276,0.273449242338431,NA,-0.286487961234007,NA,-1.09567477105199,-0.1494531010985,NA,0.0375734419087331,-0.693528507269442,-3.02097432747756,0.128671253175388,NA,0.176249349243261,-1.21701805094866,-0.455698180750273,-0.195960222617593,-0.879872157530763,0.137554949381249,0.123907620083373,-0.761963896650615,-2.25287718892579,NA,0.0310212028522252,NA,-1.65450514751466,-0.938439390771618,-1.666690986586,0.453149306799008,-3.59372011163333,0.566230979150696,0.274689450181618,0.789363885045294,-0.596221925789204,-0.457424428912488,-1.43159535856731,-1.01960647495858,0.0254386406570235
F6P_G1P,-0.140120364464241,0,0.0343356172360358,-0.0298604285900453,0.209239936562684,0.212451730421684,0.071099493552049,-0.454305888872545,-0.4625202573551,-0.239320395354098,-0.457335525464378,-0.239572922290078,-1.14360332905504,-1.64537537762154,-1.46914921549735,-0.99784732895222,-1.22149514400064,-0.73276332112216,0.15822725581233,0.445992997454764,0.312258045261512,-0.814920382234282,-0.693834716981112,-0.745765605860186,-1.20613327901679,-0.763968522704441,-1.005713377728,-0.640464044228738,-0.709759331844127,-0.574123015453356,-0.657672574435358,-0.333751495384899,-0.301126555686731,-0.200940849251261,-0.0942513264588441,-0.054704362126501,-1.32103587559744,-1.18933761666226,-1.30722436066811
folate,-0.0843337961378156,0,0.34957482130404,0.178394025435777,0.489434623347987,0.411749194178968,0.443249010930268,-0.259240984670616,0.00558776606782184,0.245012753253829,0.0363740788571432,-0.0616986668857945,-0.140132673125402,0.697577611273934,-0.570213461484189,-0.28016022553124,0.326939053206152,1.13143715537857,-0.977226947785184,0.00181127495694305,0.203011653228952,-0.274739949326412,-0.333240202292737,0.0257411019902904,-0.284235224774192,-0.651189949113567,-0.321411293738774,-0.0906894404633946,0.145535247960782,-0.221086250638091,0.0783799557732484,0.316656824492073,0.725178427985021,1.32701089318911,1.46376910526027,1.47721862536578,2.43708448246309,2.48421652202274,2.69356731435322
fumarate,0,-0.222129460389672,0.140828397973072,0.00302439998780508,0.204661281910209,0.368592903903254,-0.0610930858873798,-0.093351175700426,-0.438500720810662,-0.0885799343515655,-0.216649871785374,0.00229503473046167,-0.230050913995868,-0.194226298479909,-0.336247012926148,-0.376596594221581,-0.539910459397736,-9.83932746175087e-05,-0.193235736878476,0.101398316108635,-0.139087032725854,-0.787831498966568,-0.599639197411515,-0.163071006812445,-0.248965506415557,0.0556345659371709,-0.0308434243741522,-0.0918140921068184,-0.19559806136632,-0.0182008129536887,-0.619379912701965,-0.487275683028704,-0.379814446094603,-0.428358325015856,-0.990697711217281,-0.929649835697043,-0.970388727205598,-1.25575414336136,-2.2573779404283
GAR,-0.0168847186354862,0,0.142359476775966,-11.3056498554589,-10.1713972207091,-9.54371981900728,NA,NA,NA,-0.133608450331081,-0.159623062719227,0.0580247771598124,-7.43290046804966,-7.91322007820001,-8.89420250349154,NA,NA,NA,NA,NA,NA,-0.637793362154429,-0.51387167896392,-0.67765767923354,-9.37990336810098,-9.76913005945657,-9.42602544180856,-0.236663827133417,-0.365878844981405,-0.405253550290013,-2.67946594075359,-2.3717762249208,-2.43971143015448,-8.58046362950578,-10.7255921079641,-10.9245024110816,NA,NA,-10.1854839529804
GDP,-0.0904124786706012,0,0.163917478247425,0.215029936487577,0.371992678632034,0.372245510818014,0.00479365393151772,-0.117178631048012,-0.203080699973304,-0.211903339231384,-0.191104998968729,0.0395972761980566,1.25681395577995,1.00351924896912,1.1011551824387,0.382255198471061,0.315023990172667,0.580993493417018,-0.352259048677822,-0.154423391455881,-0.239734605845827,-0.399263669915013,-0.369518312701564,-0.470696138852574,1.0507803316114,1.18086875230323,1.08960111790998,0.174058895881484,-0.03505737974422,0.00764161022771307,-0.22897720246674,-0.0960985540901186,0.00211956352952546,1.04663696055291,1.06641260375894,1.0268095609218,0.33062399906245,0.248907895323496,0.429779279848199
glucose,-0.169779130285542,0.013945314834361,0,2.46686339457636,0.759661219430537,0.580207715809063,1.35338290225268,-0.00582272333837465,0.32993533133378,-0.278621504056127,-0.426172074804202,-0.292225642483136,1.83641303666085,2.0097129658632,1.35746869130867,0.483052970672627,0.501407321372012,1.34525709006616,-1.22876773688359,-0.247353904651493,-0.167341724246678,-0.433015854273826,-0.452732170242089,-0.279993581491225,2.36421402644468,1.59344969899473,1.74311439448263,-0.24295143852854,-0.121271870618,-0.359529856539787,0.395652916283513,0.982865296228037,1.33170219558645,-1.78983752975511,-2.342319023181,-2.40997243465248,-4.47722792336842,-4.21096623457327,-4.20987991511907
glucose_6-phosphate,0,-0.773291337147143,0.128640871214119,0.316403165861044,0.403134152094761,0.294540674077916,0.353840063365794,0.10765292281071,0.11060155168494,0.00627254268647349,-1.03840144648492,-0.767437083307761,-0.225611127945599,-0.69008241227927,-0.381285366355148,0.151360196588155,-1.15219933132709,0.350981281923442,0.0294043108974291,0.299416743916722,0.211274759964929,-0.328361772545522,-0.364110069716663,-0.366515892013415,-0.0928518899238869,-0.110000327412746,-0.0710372160882137,0.396815698170126,NA,NA,-0.164679712541543,0.344668871201868,0.284087080058905,-0.260147022021779,-0.13160543657206,-0.082873925074927,0.256984117033927,0.36162651256951,0.417736941736828
glutamate,0,-0.0251180009870621,0.123848892105437,-0.110864558546617,-0.0732526614439546,-0.022565047323218,0.110943437851724,-0.158419666582246,-0.171211232308037,-0.434498241299545,-0.378520644248822,-0.125858780414863,0.411132119670283,0.118692640528761,0.285659133966026,-0.0508271363879606,-0.159055785900221,0.0526825656835461,-0.273727549129447,-0.0816511747276351,-0.172621347754823,-0.576002295960552,-0.5372942814681,-0.463528499948056,0.314492300537568,0.316416014554084,0.279468066412123,-0.161304593704709,-0.231464239432586,-0.202247041909821,-0.250334054011325,0.0396018295752506,0.0931722850721666,-0.830755188633326,-0.924020778541542,-0.814368440175312,-1.19811689807666,-1.1947265419093,-1.04814872065507
glutamate_13C5-15N,-0.0787288077794149,0,0.127071483917519,0.158813990747373,0.0497889892325395,0.259550027731046,0.0475826649576144,-0.354781804646122,-0.385062112733227,-0.365296029286994,-0.442258715486403,-0.0616886933427235,0.559766486630367,0.159143999950715,0.312372418711061,-0.0478517312380385,-0.171917519238652,-0.0733208049631439,-0.431333306184875,-0.215643024330961,-0.222849684224554,-0.595286179943376,-0.453977140682753,-0.420658438716032,0.170428850446088,0.296649923658197,0.248474829574469,-0.276018802616197,-0.508246464913919,-0.417881667636918,-0.293726641214661,0.0387331343916274,-0.063202648065251,1.91739593663177,1.77334827467846,2.01756516081209,1.34756053358615,1.11822401757308,1.3958912689523
glutamine,0,-0.0048026798906388,0.113820988017219,-0.171634298549729,-0.1408981270915,-0.214765307353003,-0.481318030558398,-0.756895628034668,-0.718633261345412,-0.257810760057833,-0.249010926447646,-0.058483003740885,-0.372458345036036,-0.528329204305658,-0.510854147064088,-0.328104708457992,-0.579519360603994,-0.128184472401495,-0.161109649027929,0.00833619106402386,-0.0325824735934837,-0.470823870584073,-0.434376578201334,-0.308785227896959,-0.276419227024931,-0.532575892865599,-0.420498076686667,-0.100887971425083,-0.289816132299069,-0.227011958408939,-0.603052284296616,-0.388877293851418,-0.308911391816064,-0.318280117950034,-0.41645039549697,-0.401941773867547,-0.440623598763261,-0.409704585018167,-0.365727949571299
glyceraldehyde_3-phosphate,-0.14627769608243,0.0494612833117134,0,0.281831111452162,0.279264341749499,0.0620905931041248,0.0921444534884118,-0.354600145621909,-0.246174439510855,-0.108183221302772,-0.323395960485523,-0.0501806091733427,-2.40111436329189,-2.14192701418905,-1.89084390758991,-0.40344901639756,-0.569876553671301,-0.184878447530332,-0.122096855516727,-0.00230879841183394,-0.216098825052751,-0.754573664799594,-0.72679590599144,-1.03334421891883,-1.78306272266561,-1.31800786137567,-1.55856982400328,-0.686417923267664,-0.632501100462241,-0.687430923426556,-1.2020099857278,-1.54791895696051,-0.986416374558161,-1.5232946101751,-2.03469495803348,-2.28874704638576,-5.19726785426918,-3.51357675038372,-3.35823638515925
glycerol_3-phosphate,0,-0.0399404943389,0.16279435924162,0.0281214105320957,0.0474738150624806,0.0539926127625247,-0.724201853548929,-0.65302859174038,-0.719565173441753,0.31854484443465,0.245488362522838,0.561293948777052,-1.59715902909589,-1.94358714582665,-1.73127769582451,-0.465199471720875,-0.669793180128018,-0.25843615872955,-0.863925783710666,-0.720230084575015,-0.814786198773,-0.348740044010284,-0.334467816035073,-0.200839134965044,-1.69222753435677,-1.56987158842958,-1.58717876029564,-0.235401076308194,-0.434476633802494,-0.330943422863418,-2.00958213486449,-1.82821055750044,-1.80863225208089,-4.2174417896578,-4.31878672403766,-4.30937815290959,-5.5888477223701,-5.25793786796724,-5.66321885211031
