Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Canonical Pathways,11,M101,PID HDAC CLASSI PATHWAY,,-10,12,12,30242,66,500,13,2.6,0.71,3065|3066|5901|5905|9219|9611|23411|25942|51548|51564|53615|57154|57459,HDAC1|HDAC2|RAN|RANGAP1|MTA2|NCOR1|SIRT1|SIN3A|SIRT6|HDAC7|MBD3|SMURF1|GATAD2B,-7.4,MyList
CORUM,33,CORUM:484,TFIID complex,,-10,38,16,30242,11,500,7,1.4,0.53,6872|6874|6877|6878|6879|6882|6884,TAF1|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13,-7.2,MyList
CORUM,33,CORUM:463,TFIID complex,,-10,38,16,30242,11,500,7,1.4,0.53,6872|6874|6877|6878|6879|6882|6884,TAF1|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13,-7.2,MyList
GO Biological Processes,19,GO:0016573,histone acetylation,19_GO:0008152 metabolic process,-9.9,7,9.7,30242,155,500,18,3.6,0.83,86|3054|6688|6872|6879|8089|11091|23411|23774|25942|53615|54556|54934|55677|55683|55929|80314|339287,ACTL6A|HCFC1|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ING3|KANSL2|IWS1|KANSL3|DMAP1|EPC1|MSL1,-7.1,MyList
GO Biological Processes,19,GO:0034504,protein localization to nucleus,19_GO:0051179 localization,-9.9,5,8.9,30242,290,500,24,4.8,0.96,811|908|1994|3621|5901|5905|6396|6950|7157|9972|10204|10526|10575|10576|10694|23435|25942|54623|55696|55929|81603|83860|129401|129685,CALR|CCT6A|ELAVL1|ING1|RAN|RANGAP1|SEC13|TCP1|TP53|NUP153|NUTF2|IPO8|CCT4|CCT2|CCT8|TARDBP|SIN3A|PAF1|RBM22|DMAP1|TRIM8|TAF3|NUP35|TAF8,-7.1,MyList
GO Biological Processes,19,GO:0043543,protein acylation,19_GO:0008152 metabolic process,-9.8,5.5,9.1,30242,244,500,22,4.4,0.92,86|3054|3065|3066|6688|6872|6879|8089|11091|23411|23774|25942|53615|54503|54556|54934|55677|55683|55929|80018|80314|339287,ACTL6A|HCFC1|HDAC1|HDAC2|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ZDHHC13|ING3|KANSL2|IWS1|KANSL3|DMAP1|NAA25|EPC1|MSL1,-7,MyList
GO Biological Processes,19,GO:0006403,RNA localization,19_GO:0051179 localization,-9.7,6,9.2,30242,202,500,20,4,0.88,908|1984|3181|5901|6396|6950|8086|9972|10204|10575|10576|10657|10694|54890|55051|55677|55706|129401|167227|348995,CCT6A|EIF5A|HNRNPA2B1|RAN|SEC13|TCP1|AAAS|NUP153|NUTF2|CCT4|CCT2|KHDRBS1|CCT8|ALKBH5|NRDE2|IWS1|NDC1|NUP35|DCP2|NUP43,-7,MyList
GO Biological Processes,19,GO:0051568,histone H3-K4 methylation,19_GO:0008152 metabolic process,-9.7,12,11,30242,59,500,12,2.4,0.68,4221|5929|9070|9646|11091|23067|23168|30827|55904|80349|84332|84661,MEN1|RBBP5|ASH2L|CTR9|WDR5|SETD1B|RTF1|CXXC1|KMT2E|WDR61|DYDC2|DPY30,-7,MyList
Reactome Gene Sets,6,R-HSA-167172,Transcription of the HIV genome,,-9.7,11,11,30242,73,500,13,2.6,0.71,5431|5432|6749|6829|6872|6873|6874|6877|6878|6879|6882|6884|83860,POLR2B|POLR2C|SSRP1|SUPT5H|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TAF3,-7,MyList
GO Biological Processes,19,GO:0018393,internal peptidyl-lysine acetylation,19_GO:0008152 metabolic process,-9.7,6.8,9.5,30242,161,500,18,3.6,0.83,86|3054|6688|6872|6879|8089|11091|23411|23774|25942|53615|54556|54934|55677|55683|55929|80314|339287,ACTL6A|HCFC1|SPI1|TAF1|TAF7|YEATS4|WDR5|SIRT1|BRD1|SIN3A|MBD3|ING3|KANSL2|IWS1|KANSL3|DMAP1|EPC1|MSL1,-7,MyList
Reactome Gene Sets,6,R-HSA-76042,RNA Polymerase II Transcription Initiation And Promoter Clearance,,-9.6,14,12,30242,47,500,11,2.2,0.66,5431|5432|6872|6873|6874|6877|6878|6879|6882|6884|83860,POLR2B|POLR2C|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TAF3,-7,MyList
Reactome Gene Sets,6,R-HSA-75953,RNA Polymerase II Transcription Initiation,,-9.6,14,12,30242,47,500,11,2.2,0.66,5431|5432|6872|6873|6874|6877|6878|6879|6882|6884|83860,POLR2B|POLR2C|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TAF3,-7,MyList
Reactome Gene Sets,6,R-HSA-167161,HIV Transcription Initiation,,-9.6,14,12,30242,47,500,11,2.2,0.66,5431|5432|6872|6873|6874|6877|6878|6879|6882|6884|83860,POLR2B|POLR2C|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TAF3,-7,MyList
Reactome Gene Sets,6,R-HSA-167162,RNA Polymerase II HIV Promoter Escape,,-9.6,14,12,30242,47,500,11,2.2,0.66,5431|5432|6872|6873|6874|6877|6878|6879|6882|6884|83860,POLR2B|POLR2C|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TAF3,-7,MyList
Reactome Gene Sets,6,R-HSA-73776,RNA Polymerase II Promoter Escape,,-9.6,14,12,30242,47,500,11,2.2,0.66,5431|5432|6872|6873|6874|6877|6878|6879|6882|6884|83860,POLR2B|POLR2C|TAF1|TAF2|TAF4|TAF5|TAF6|TAF7|TAF11|TAF13|TAF3,-7,MyList
