_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-9.6,R-HSA-73776,RNA Polymerase II Promoter Escape,M1,1,0
1,-3.6,CORUM:89,Exocyst Sec6/8 complex,M1,1,0
1,-4.4,GO:0090666,scaRNA localization to Cajal body,M1,1,0
1,-6,GO:0001701,in utero embryonic development,M1,1,0
1,-2.8,GO:0006047,UDP-N-acetylglucosamine metabolic process,M1,1,0
1,-9.7,GO:0051568,histone H3-K4 methylation,M1,1,0
1,-2.3,GO:0060965,negative regulation of gene silencing by miRNA,M1,1,0
1,-2.2,GO:0006282,regulation of DNA repair,M1,1,0
1,-2.8,GO:0044819,mitotic G1/S transition checkpoint signaling,M1,1,0
1,-4.2,GO:0010563,negative regulation of phosphorus metabolic process,M1,1,0
1,-2.4,R-HSA-68886,M Phase,M1,1,0
1,-7.4,GO:1901988,negative regulation of cell cycle phase transition,M1,1,0
1,-2.8,ko00240,Pyrimidine metabolism,M1,1,0
1,-2.7,GO:0061013,regulation of mRNA catabolic process,M1,1,0
1,-3.3,WP4879,Overlap between signal transduction pathways contributing to LMNA laminopathies,M1,1,0
1,-11,CORUM:1254,Menin-associated histone methyltransferase complex,M1,1,0
1,-8.1,CORUM:2730,Set1B complex,M1,1,0
1,-2.2,R-HSA-400253,Circadian Clock,M1,1,0
1,-6.9,ko04141,Protein processing in endoplasmic reticulum,M1,1,0
1,-2.9,R-HSA-9694516,SARS-CoV-2 Infection,M1,1,0
1,-4.9,R-HSA-168255,Influenza Infection,M1,1,0
1,-4.8,CORUM:799,DMAP1-associated complex,M1,1,0
1,-2.6,R-HSA-167243,Tat-mediated HIV elongation arrest and recovery,M1,1,0
1,-4,GO:0044818,mitotic G2/M transition checkpoint,M1,1,0
1,-5.9,GO:0040029,"regulation of gene expression, epigenetic",M1,1,0
1,-3.8,CORUM:732,SIN3 complex,M1,1,0
1,-3.8,CORUM:596,SIN3-HDAC-SAP30-ARID4 complex,M1,1,0
1,-2.8,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,M1,1,0
1,-2.3,GO:0042063,gliogenesis,M1,1,0
1,-5.3,GO:0000075,cell cycle checkpoint signaling,M1,1,0
1,-3.6,GO:0001541,ovarian follicle development,M1,1,0
1,-2.4,GO:0001704,formation of primary germ layer,M1,1,0
1,-2.1,R-HSA-9707616,Heme signaling,M1,1,0
1,-4.4,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M1,1,0
1,-2.2,GO:0051223,regulation of protein transport,M1,1,0
