"","dmso_cd11b","dmso_gfp","hu_cd11b","hu_gfp","aph_cd11b","aph_gfp","e2_cd11b","e2_gfp","ha_cd11b","ha_gfp","ha_mean_cd11b","ha_mean_gfp","dmso_viab","is_hit"
"Cpb2",-0.075007,-0.022757,0.01183,0.05847,0.16511,-0.066862,0.065776,0.16588,0.047143,-0.030381,0.08847,-0.004196,0.081347,"Not hit"
"Olfr1288",-0.033978,0.1,0.010481,0.026974,-0.044094,0.22026,0.1413,0.1543,-0.00086684,0.164,-0.0168065,0.123617,0.071039,"Not hit"
"Tube1",-0.053933,-0.77513,-0.20366,-0.016732,0.011751,-0.17494,-0.9518,-0.4334,-0.03655,-0.11198,-0.0959545,-0.095836,0.024608,"Not hit"
"Ccl24",0.01576,0.16257,-0.078019,-0.20182,0.18407,0.11122,-0.1141,-0.076494,0.062341,-0.03661,0.0530255,-0.0453,0.046064,"Not hit"
"Fbxo4",-0.013091,-0.22036,0.4887,-0.50911,0.04902,-0.048504,-0.18,-0.17982,0.16668,-0.31522,0.26886,-0.278807,-0.045639,"Not hit"
"Renbp",0.11495,-0.02975,0.1044,-0.07207,0.093757,-0.082652,-0.12412,0.0035823,0.1059,-0.083085,0.0990785,-0.077361,-0.13584,"Not hit"
"Mef2c",0.13141,0.099936,-0.024065,-0.048416,-0.10186,-0.064619,0.25375,0.051026,-0.048273,-0.065053,-0.0629625,-0.0565175,0.14438,"Not hit"
"Aplp1",0.099834,-0.082759,-0.051508,0.012155,0.02213,0.12686,-0.024519,0.070313,-0.0022531,0.097386,-0.014689,0.0695075,-0.21831,"Not hit"
"Cldn7",-0.12035,-0.1636,0.0063321,-0.060531,-0.051788,-0.05216,0.14041,0.092373,0.0089005,-0.061662,-0.02272795,-0.0563455,-0.084514,"Not hit"
"Rad54l",0.0045147,0.036444,-0.065723,-0.24771,0.36845,0.27517,0.14642,-0.057347,0.22033,0.044364,0.1513635,0.01373,0.4012,"Not hit"
"Atp13a2",0.038317,-0.078126,-0.0020757,0.19461,-0.23838,-0.0037847,0.043509,-0.15501,-0.027334,0.16566,-0.12022785,0.09541265,0.11483,"Not hit"
"Tas2r134",-0.049982,-0.18418,0.17583,-0.27065,-0.13496,-0.1205,0.095876,-0.03503,0.10886,-0.18677,0.020435,-0.195575,0.04173,"Not hit"
"Gapt",0.13129,0.12664,-0.09115,-0.089422,-0.037441,-0.15534,0.072061,-0.097451,-0.078344,-0.1556,-0.0642955,-0.122381,0.15267,"Not hit"
"Fam221b",-0.064134,0.25666,0.14868,0.21715,0.071315,0.16707,0.12399,-0.01125,0.11606,0.19314,0.1099975,0.19211,0.036892,"Not hit"
"Tnnc1",0.2246,0.10719,-0.037887,-0.077829,-0.031427,-0.18646,0.025197,-0.17911,-0.037491,-0.078506,-0.034657,-0.1321445,-0.31068,"Not hit"
"Tmem52",0.49441,0.13407,0.14661,-0.003531,-0.030845,-0.016789,0.24961,0.36197,0.041192,-0.0046525,0.0578825,-0.01016,-0.054237,"Not hit"
"Hibch",0.1209,0.26925,-0.17769,0.1821,-0.20783,0.067767,-0.054608,-0.23787,-0.17625,0.11512,-0.19276,0.1249335,-0.12394,"Not hit"
"Shf",-0.020873,0.040874,0.44907,-0.18328,-0.31521,-0.20628,0.045058,-0.2842,0.15403,-0.20667,0.06693,-0.19478,-0.045062,"Not hit"
"Rbp2",-0.17277,0.034257,0.072715,0.15219,0.16375,0.068253,-0.036908,0.04605,0.098794,0.1088,0.1182325,0.1102215,0.18274,"Not hit"
"Akr1b3",0.023796,0.25861,-0.10015,-0.094766,0.16254,0.064218,-0.016439,-0.10396,-0.049455,-0.034854,0.031195,-0.015274,-0.16946,"Not hit"
"Morn3",0.12331,-0.29009,-0.018145,-0.1582,-0.020447,-0.17314,-0.037214,-0.30012,-0.01666,-0.17356,-0.019296,-0.16567,0.03642,"Not hit"
"Msantd1",-0.053608,-0.088039,-0.027817,-0.0037595,-0.25936,-0.086677,-0.13153,-0.010087,-0.17542,-0.045231,-0.1435885,-0.04521825,0.16894,"Not hit"
"Il2rb",0.11492,-0.044095,-0.22946,0.095403,0.065223,-0.14225,0.059337,-0.067797,-0.14373,0.010077,-0.0821185,-0.0234235,-0.011632,"Not hit"
"Zbtb7a",0.25467,0.080651,0.22608,-0.1697,0.58784,-0.045514,-0.4924,-0.6583,0.33274,-0.12279,0.40696,-0.107607,-0.0096521,"Not hit"
"Ip6k1",-0.15123,-0.2044,0.31633,-0.2415,0.36125,-0.21501,0.15862,-0.15502,0.34577,-0.21533,0.33879,-0.228255,-0.04986,"Not hit"
"Pik3r3",-0.093478,0.00011679,-0.16128,-0.079037,-0.092757,-0.082364,-0.15249,-0.11149,-0.10823,-0.079696,-0.1270185,-0.0807005,-0.02141,"Not hit"
"Eps15l1",0.14782,0.41312,0.069441,0.48843,0.05583,0.04253,0.33793,0.35737,0.054834,0.15304,0.0626355,0.26548,0.12126,"Not hit"
"Fhl2",-0.048451,0.020818,0.0011557,-0.14722,0.016569,-0.0868,-0.18016,-0.01761,0.0099491,-0.1174,0.00886235,-0.11701,0.042772,"Not hit"
"Ndufab1",-0.10437,-0.089449,-1.3971,-1.2421,-0.29646,-0.13106,-1.1118,-1.0086,-0.98372,-0.50615,-0.84678,-0.68658,0.00061307,"Not hit"
"Ncapd2",0.28303,0.090612,-0.12231,0.1255,-0.20269,0.043564,-0.37328,0.14645,-0.17741,0.11072,-0.1625,0.084532,-0.36457,"Not hit"
"Slc27a3",0.47366,0.15248,-0.065407,0.0025274,-0.000452,0.35613,-0.29694,-0.32756,-0.0098816,0.14294,-0.0329295,0.1793287,-0.15637,"Not hit"
"Ppp4r1",-0.025695,0.1935,0.091619,0.057039,-0.0045187,-0.27974,0.10106,0.40064,0.04136,-0.15144,0.04355015,-0.1113505,0.16868,"Not hit"
"Ptchd3",-0.054023,-0.1396,-0.049448,-0.080689,-0.023274,-0.13811,-0.081029,-0.45499,-0.047976,-0.13852,-0.036361,-0.1093995,-0.071759,"Not hit"
"Cntnap5b",-0.064083,0.17545,-0.020001,0.25881,0.012616,-0.1309,0.010309,-0.21485,0.012209,0.015552,-0.0036925,0.063955,-0.051953,"Not hit"
"Atp9b",-0.069681,-0.139,0.19567,0.32024,0.19868,-0.1104,0.25004,0.45817,0.19878,-0.0048697,0.197175,0.10492,-0.19557,"Not hit"
"AU016765",0.20887,-0.067903,0.21196,0.40843,0.50005,0.061097,-0.020609,0.30786,0.37541,0.18071,0.356005,0.2347635,0.084007,"Not hit"
"Zfp423",-0.097488,-0.082554,-0.29701,-0.08499,-0.02435,0.24562,-0.18919,-0.26482,-0.22599,0.15507,-0.16068,0.080315,0.028807,"Not hit"
"Slc13a5",-0.094897,0.37675,-0.025553,0.0739,-0.069406,0.05694,-0.10955,-0.032711,-0.069225,0.065026,-0.0474795,0.06542,0.096079,"Not hit"
"Olfr1238",0.35749,-0.20255,-0.038981,0.11644,0.18406,-0.084281,0.20486,0.03901,0.0094594,-0.024364,0.0725395,0.0160795,0.20835,"Not hit"
"Ccdc135",-0.051474,0.014619,-0.2314,-0.02438,0.057975,0.071579,-0.31261,-0.12359,0.0090407,0.040645,-0.0867125,0.0235995,0.1395,"Not hit"
"Sfn",0.14098,0.056562,-0.031531,0.18377,-0.18616,-0.088483,0.032918,0.069619,-0.076401,0.0027199,-0.1088455,0.0476435,0.0013369,"Not hit"
"D17H6S56E-5",0.21197,-0.13796,0.22689,0.27886,0.30018,-0.057148,-0.04554,0.034074,0.27091,0.1556,0.263535,0.110856,-0.1558,"Not hit"
"Ppfibp1",-0.060706,-0.042921,0.07841,-0.17971,-0.085462,0.14376,-0.064999,0.078918,0.039108,0.10724,-0.003526,-0.017975,0.041504,"Not hit"
"Mcm3",0.17907,-0.10783,-0.11577,0.29094,0.23489,0.061584,-0.10856,0.28167,0.032034,0.21455,0.05956,0.176262,-0.25983,"Not hit"
"Map6d1",-0.090509,0.06788,0.24007,-0.15626,-0.048102,0.060324,0.038919,-0.13903,0.12494,-0.0075373,0.095984,-0.047968,0.13807,"Not hit"
"4833427G06Rik",-0.04951,-0.12177,-0.15456,-0.032659,-0.026253,0.074402,0.0065315,0.062392,-0.084221,0.032669,-0.0904065,0.0208715,0.14715,"Not hit"
"Cyp8b1",-0.023981,0.32339,-0.38755,-0.1436,-0.024476,-0.11039,-0.25128,0.10048,-0.35776,-0.1108,-0.206013,-0.126995,-0.14114,"Not hit"
"Hao1",0.066508,0.018597,0.099932,-0.11269,0.18396,0.15723,0.064099,-0.076377,0.16237,0.093925,0.141946,0.02227,0.22559,"Not hit"
"Cav2",0.0020654,0.11875,0.30466,0.055948,0.33796,-0.012622,0.062851,0.23092,0.33726,-0.012897,0.32131,0.021663,0.091093,"Not hit"
"Il9r",0.14375,0.016584,0.078438,-0.35273,0.22543,0.30334,0.10113,0.20784,0.20644,0.0116,0.151934,-0.024695,0.15474,"Not hit"
"Btbd6",-0.10154,-0.032143,-0.0056336,-0.065796,-0.037099,-0.036381,-0.1037,-0.025509,-0.023453,-0.066455,-0.0213663,-0.0510885,0.056264,"Not hit"
"Kcnj9",-0.047756,0.069495,-0.029291,-0.15476,-0.13445,0.16033,0.0077272,-0.03877,-0.028894,-0.01135,-0.0818705,0.002785,0.20411,"Not hit"
"Myrf",0.026346,-0.011255,-0.1453,0.29207,-0.2839,-0.10914,-0.0061753,-0.31032,-0.19525,0.1002,-0.2146,0.091465,-0.06757,"Not hit"
"Rbm39",-0.0069806,0.17508,-0.22456,-0.70031,-0.061988,-0.36772,-0.91646,-0.63412,-0.14079,-0.50843,-0.143274,-0.534015,-0.32009,"Not hit"
"Zfp942",-0.089699,0.0075896,-0.009922,0.10613,0.1447,0.098514,0.16726,-0.089544,0.071306,0.10549,0.067389,0.102322,0.050543,"Not hit"
"Ppp1r13b",0.063269,0.078644,0.1218,-0.29466,0.054337,-0.018974,-0.32769,0.14349,0.090408,-0.22342,0.0880685,-0.156817,0.06796,"Not hit"
"Tma16",0.46234,-0.28964,0.05059,0.21552,0.3629,0.040193,-0.23117,1.0588,0.24127,0.21543,0.206745,0.1278565,-1.422,"Not hit"
"Slc38a2",0.024382,-0.0098157,-0.45246,0.14852,-0.58057,-0.259,0.035176,-0.075181,-0.49537,-0.062774,-0.516515,-0.05524,0.13776,"Not hit"
"Rbm34",-0.13144,0.035797,0.23086,0.14869,-0.080809,0.076004,0.53077,0.14544,-0.048562,0.075718,0.0750255,0.112347,0.14589,"Not hit"
"Olfr214",0.15164,0.14826,-0.033157,0.36303,-0.13599,0.043047,-0.053178,-0.020507,-0.084747,0.25895,-0.0845735,0.2030385,0.41032,"Not hit"
"Clhc1",0.066313,0.33721,0.38579,0.27011,-0.14192,0.16223,0.34638,-0.12664,0.040125,0.20137,0.121935,0.21617,-0.4154,"Not hit"
"Cd74",-0.0026406,-0.031449,0.04893,-0.10999,0.3274,0.013699,-0.2677,0.024241,0.20424,-0.064771,0.188165,-0.0481455,0.10581,"Not hit"
"Olfr805",-0.10575,0.17629,-0.27079,0.1325,-0.040655,-0.024463,0.238,-0.056655,-0.10969,0.016332,-0.1557225,0.0540185,0.14147,"Not hit"
"Dusp8",0.2387,0.11696,0.016109,0.17664,-0.042544,0.044502,-0.155,0.1732,0.016517,0.072875,-0.0132175,0.110571,0.13284,"Not hit"
"Iqcf4",-0.042441,-0.2221,-0.15252,-0.0019912,-0.51236,0.096314,-0.25387,-0.42555,-0.30115,0.048387,-0.33244,0.0471614,-0.085118,"Not hit"
"Nxnl1",0.17661,-0.15613,-0.12813,-0.24483,-0.24632,-0.29858,0.14357,-0.22599,-0.19297,-0.27657,-0.187225,-0.271705,-0.067177,"Not hit"
"Myh13",-0.1747,0.18311,0.040802,0.43249,-0.25991,0.050522,0.24558,-0.0043628,-0.082272,0.14793,-0.109554,0.241506,0.031612,"Not hit"
"Gzmb",0.048547,-0.54294,0.30513,-0.22828,0.24267,-0.28701,0.049542,0.032411,0.25821,-0.24648,0.2739,-0.257645,-0.44219,"Not hit"
"Pigf",-0.12376,0.25315,0.027585,0.19135,0.17373,0.032346,-0.082829,-0.21676,0.10857,0.069139,0.1006575,0.111848,0.057224,"Not hit"
"PRND",-0.07385,-0.051344,-0.029979,0.027975,0.0424,0.014221,0.14002,-0.044948,0.04141,0.020206,0.0062105,0.021098,0.20315,"Not hit"
"Zfp791",-0.0063389,-0.31191,-0.25611,-0.49633,0.06706,-0.21519,-0.12112,-0.1704,-0.13653,-0.39748,-0.094525,-0.35576,0.26659,"Not hit"
"Olfr639",-0.11222,-0.021391,-0.30983,-0.10903,0.034665,-0.088416,0.20043,-0.015384,-0.072949,-0.10922,-0.1375825,-0.098723,0.1972,"Not hit"
"Olfr1032",-0.067303,-0.26984,0.28053,-0.29561,-0.067395,0.29986,0.48232,0.22917,-0.01265,0.051536,0.1065675,0.00212500000000002,-0.21819,"Not hit"
"Wdr31",-0.0082467,0.069926,-0.15427,-0.29967,-0.28928,-0.34733,-0.40208,-0.047118,-0.26748,-0.34767,-0.221775,-0.3235,-0.18157,"Not hit"
"Pom121",-0.08369,0.48038,-0.075885,0.2203,-0.35973,0.33346,-1.5871,-1.141,-0.11703,0.25626,-0.2178075,0.27688,-0.48738,"Not hit"
"Npat",0.068303,0.66098,0.022207,0.99424,0.14711,0.67739,0.78471,0.82513,0.076877,0.85814,0.0846585,0.835815,0.085916,"GFP hit only"
"Gprin2",-0.13207,-0.32954,0.095306,0.10552,0.31785,-0.014607,-0.057009,-0.21989,0.24872,0.074946,0.206578,0.0454565,-0.27816,"Not hit"
"Capn5",-0.055063,-0.27427,-0.26584,-0.12131,0.20112,-0.16267,0.4555,0.22928,0.07323,-0.1631,-0.03236,-0.14199,-0.041193,"Not hit"
"Ccdc19",-0.037482,-0.11526,0.10796,0.19887,-0.49242,-0.23491,-0.2369,-0.33653,-0.19856,0.024751,-0.19223,-0.01802,-0.028416,"Not hit"
"Npr2",-0.15937,0.21188,-0.02929,-0.077353,-0.016912,-0.061367,0.23233,-0.11324,-0.027833,-0.0618,-0.023101,-0.06936,0.01938,"Not hit"
"Sema4g",0.1943,-0.12583,-0.10535,0.15078,0.090328,0.073904,0.068631,-0.052232,-0.0077674,0.12154,-0.007511,0.112342,0.12144,"Not hit"
"Tiparp",0.055682,0.1498,-0.36865,-0.20663,0.018262,-0.27811,1.0639,1.0589,-0.082988,-0.23894,-0.175194,-0.24237,0.15796,"Not hit"
"Ccdc106",0.12918,-0.08771,-0.14522,-0.080536,-0.058273,0.18825,0.19962,-0.12771,-0.058653,0.067964,-0.1017465,0.053857,-0.1267,"Not hit"
"Znhit2",-0.20263,0.1279,0.33843,0.56905,0.33928,0.25866,0.39635,0.29857,0.33813,0.44788,0.338855,0.413855,-0.18583,"Not hit"
"Onecut1",0.11977,0.18586,-0.087427,0.12451,0.087108,-0.001067,-0.069951,-0.089456,-0.013231,0.047694,-0.0001595,0.0617215,-0.087862,"Not hit"
"Map2k5",0.12124,-0.051571,0.17773,-0.01462,0.57572,-0.078123,-0.14378,-0.043378,0.26164,-0.041142,0.376725,-0.0463715,-0.086859,"Not hit"
"Kif12",0.089644,-0.0015285,-0.22192,0.10494,-0.25744,-0.18976,-0.11073,0.052778,-0.22553,-0.091544,-0.23968,-0.04241,0.1256,"Not hit"
"Ube3c",-0.015055,0.093411,0.068162,0.12705,0.20232,0.075978,0.21252,-0.029439,0.16674,0.075528,0.135241,0.101514,0.19091,"Not hit"
"Aicda",0.023142,0.0010958,-0.14192,-0.13593,0.27773,-0.20001,0.011352,-0.12407,0.18444,-0.18745,0.067905,-0.16797,-0.0038345,"Not hit"
"Scaf8",0.015724,0.012,-0.2698,-0.088054,0.10457,0.067347,0.21092,-0.0028464,-0.080035,0.034228,-0.082615,-0.0103535,0.010621,"Not hit"
"Adig",-0.11592,-0.10448,-0.054603,-0.20386,-0.038524,-0.018205,-0.006049,0.026673,-0.053131,-0.1786,-0.0465635,-0.1110325,-0.12256,"Not hit"
"Fubp1",-0.091342,-0.084871,0.013651,0.028894,-0.078224,0.36951,0.1685,0.50917,0.016229,0.15583,-0.0322865,0.199202,0.097639,"Not hit"
"Olfr1424",-0.14503,-0.063298,-0.099522,-0.24458,-0.19473,0.27531,0.04292,-0.20119,-0.12044,-0.022227,-0.147126,0.015365,0.038304,"Not hit"
"Ccnt1",-0.29341,-0.29077,0.11773,0.2549,-0.29103,-0.081574,0.43913,1.0788,-0.11578,0.089288,-0.08665,0.086663,0.24921,"Not hit"
"Bsnd",0.14085,-0.15726,0.26358,0.24924,-0.011672,-0.010431,0.047087,-0.13238,0.15758,0.17987,0.125954,0.1194045,0.11339,"Not hit"
"Fgf2",0.077444,-0.020634,-0.026873,-0.16091,0.022165,0.010227,0.14619,-0.049069,0.013694,-0.03512,-0.002354,-0.0753415,0.12881,"Not hit"
"Olfr251",-0.045152,-0.045645,-0.23428,0.023436,-0.1916,0.22637,-0.028339,-0.16012,-0.20431,0.069426,-0.21294,0.124903,0.039542,"Not hit"
"Trp53bp2",0.27587,-0.014329,0.076879,-0.21353,-0.10636,0.011865,-0.074126,-0.24886,0.047085,-0.036153,-0.0147405,-0.1008325,-0.44526,"Not hit"
"Dars",-0.030685,-0.096448,-1.8913,-1.0242,-1.5574,0.12173,-2.7514,-2.9981,-1.7711,-0.75912,-1.72435,-0.451235,-0.48147,"Not hit"
"Guca1b",-0.07261,0.073172,-0.10123,0.11186,-0.17789,-0.076214,-0.3124,0.1519,-0.11567,0.014491,-0.13956,0.017823,-0.17961,"Not hit"
"Vmn2r26",-0.041393,-0.13002,0.081894,0.24375,0.050732,-0.13495,0.15397,0.15732,0.049735,-0.0095381,0.066313,0.0544,0.19355,"Not hit"
"Ints3",0.72574,-0.35758,-0.27732,-0.96441,-0.06324,-0.11202,-1.581,-0.88607,-0.21122,-0.68011,-0.17028,-0.538215,-1.8556,"Not hit"
"Tcfl5",-0.092007,0.37625,-0.18006,0.14735,0.016105,-0.035652,0.15348,0.29512,-0.067534,0.080284,-0.0819775,0.055849,0.083206,"Not hit"
"Mapk14",-0.21071,0.19334,0.060128,-0.09446,0.010421,-0.10354,-0.29912,-0.26365,0.030417,-0.10403,0.0352745,-0.099,-0.2738,"Not hit"
"Mrps28",-0.1146,-0.12222,-0.1725,0.19606,-0.099763,-0.0090304,-0.15496,-0.075906,-0.10641,0.08861,-0.1361315,0.0935148,-0.069817,"Not hit"
"Armc1",0.021837,0.26733,-0.14084,-0.086946,0.040511,0.028826,-0.055572,-0.30102,-0.13349,0.028226,-0.0501645,-0.02906,0.047918,"Not hit"
"Aadat",0.14768,0.26798,0.11174,-0.13373,0.013544,-0.061094,0.061689,0.18432,0.11324,-0.10248,0.062642,-0.097412,0.18933,"Not hit"
"Olfr1281",-0.13137,0.13711,-0.0095306,0.21762,0.084038,-0.21397,0.2332,0.10502,0.042201,-0.017603,0.0372537,0.00182500000000001,-0.073109,"Not hit"
"Olfr206",-0.15116,-0.022305,0.41569,0.21391,0.035306,0.14898,0.25485,0.025145,0.17382,0.14853,0.225498,0.181445,0.064009,"Not hit"
"Slc36a4",-0.055336,-0.12125,0.0062338,0.41819,0.16514,0.12512,-0.10969,0.0099999,0.15492,0.35428,0.0856869,0.271655,0.16484,"Not hit"
"Chmp1a",-0.01033,0.30148,0.39688,0.21488,-0.0037508,0.037539,0.11233,0.28227,0.16908,0.076351,0.1965646,0.1262095,0.12517,"Not hit"
"Sgol1",0.32876,-0.1813,0.23521,-0.094676,0.34747,0.51158,-1.3532,-1.0411,0.3149,0.51082,0.29134,0.208452,-0.60611,"Not hit"
"Adss",-0.015175,0.05646,0.20482,0.12894,0.64632,0.057652,-0.24384,0.015201,0.43472,0.079178,0.42557,0.093296,0.25418,"Not hit"
"Fbxw25",-0.0033705,0.17431,0.024259,-0.11303,0.1496,-0.077848,-0.31963,-0.066997,0.1491,-0.078279,0.0869295,-0.095439,-0.026464,"Not hit"
"Rlf",-0.058367,-0.087454,-0.34286,-0.22268,-0.050759,-0.065085,-0.19403,-0.033766,-0.10276,-0.1088,-0.1968095,-0.1438825,-0.088863,"Not hit"
"Cdx4",-0.067251,0.17243,-0.11706,-0.063545,-0.26344,-0.048791,0.036028,0.012545,-0.26379,-0.052049,-0.19025,-0.056168,-0.024587,"Not hit"
"Boc",0.023059,-0.12194,0.26783,0.10877,0.1171,0.22864,0.50016,0.42799,0.12432,0.1628,0.192465,0.168705,0.13023,"Not hit"
"Usp8",-0.16127,0.26419,-0.57215,-0.13706,-0.51888,0.28303,-0.26424,-0.41425,-0.54549,0.11565,-0.545515,0.072985,-1.509,"Not hit"
"Pxmp4",-0.08484,0.089097,0.13761,0.07271,0.18455,-0.12193,0.094826,0.24411,0.15486,-0.073964,0.16108,-0.02461,0.049288,"Not hit"
"Fmod",-0.025958,0.15653,0.058262,-0.024952,-0.12137,0.08942,-0.018666,0.029447,0.030119,0.056186,-0.031554,0.032234,0.15817,"Not hit"
"Ermp1",-0.14285,-0.158,0.026349,0.1683,0.084712,-0.056363,-0.15194,0.13483,0.0604,0.12261,0.0555305,0.0559685,-0.061741,"Not hit"
"Gan",-0.11576,-0.018259,-0.054525,0.29473,0.059945,-0.0044597,-0.11418,-0.17703,0.04062,0.13823,0.00271,0.14513515,0.071563,"Not hit"
"Olfr1065",-0.10149,0.08266,0.095215,0.36318,0.23174,-0.062149,0.13441,0.060858,0.1822,0.22807,0.1634775,0.1505155,0.15635,"Not hit"
"Gnaz",0.019294,0.10657,0.10722,-0.011206,0.017105,0.042969,0.091741,0.18123,0.10552,0.024721,0.0621625,0.0158815,-0.18296,"Not hit"
"2410076I21Rik",0.018847,-0.034841,0.27405,-0.057266,0.062943,-0.065459,-0.17224,-0.26059,0.085549,-0.066049,0.1684965,-0.0613625,-0.20283,"Not hit"
"Vstm4",0.078986,-0.22995,-0.14911,-0.25076,-0.24089,0.10537,0.078639,0.092404,-0.17086,-0.20636,-0.195,-0.072695,0.098161,"Not hit"
"Chst5",0.045403,-0.063575,0.46709,0.24303,0.10209,0.38085,0.38647,-0.24673,0.22514,0.27915,0.28459,0.31194,0.17064,"Not hit"
"Cabs1",-0.088291,0.18938,-0.41183,0.15262,-0.16917,-0.002729,0.37094,-0.0083832,-0.20144,0.10163,-0.2905,0.0749455,0.1825,"Not hit"
"Coq7",-0.14399,-0.44761,-0.95588,-1.0892,-1.719,-0.4452,-1.399,-1.6788,-1.4423,-0.74605,-1.33744,-0.7672,-0.11812,"Not hit"
"Cadps",0.11211,0.037979,0.0011063,-0.36563,0.12249,0.024459,-0.17709,0.015915,0.002576,-0.094916,0.06179815,-0.1705855,0.07882,"Not hit"
"Amy1",0.064627,-0.061169,-0.021377,0.037934,0.18093,0.079725,0.043018,-0.07542,0.094091,0.072351,0.0797765,0.0588295,0.13925,"Not hit"
"Pck1",-0.16579,-0.051815,0.091931,0.14936,0.023261,0.15439,0.13094,-0.27211,0.022285,0.15392,0.057596,0.151875,-0.11447,"Not hit"
"Akr1c6",0.021853,0.017098,-0.032351,-0.063825,0.38936,-0.1849,0.10726,-0.28756,0.1533,-0.10315,0.1785045,-0.1243625,8.6067e-05,"Not hit"
"Nisch",0.024127,0.18956,-0.32001,-0.40812,0.17851,-0.14558,-0.28698,-0.40894,-0.18588,-0.24558,-0.07075,-0.27685,0.19623,"Not hit"
"Usp33",-0.10564,0.14096,0.17624,-0.10651,0.25392,0.11726,0.11412,0.034281,0.23607,-0.0040619,0.21508,0.005375,0.030555,"Not hit"
"Osr2",0.0269,-0.052634,-0.12638,0.07946,0.18581,-0.075401,0.20036,0.15397,0.074151,-0.034879,0.029715,0.0020295,0.014582,"Not hit"
"Thumpd3",0.083712,-0.099749,-0.19501,0.030226,0.16138,0.30222,0.32009,-0.11822,-0.083015,0.17755,-0.016815,0.166223,0.034255,"Not hit"
"Ang6",-0.13006,0.10444,-0.045669,-0.002918,0.059833,0.0078581,0.24226,0.017031,-0.0072052,-0.003574,0.007082,0.00247005,0.20858,"Not hit"
"Nr0b1",0.13121,-0.15185,-0.17541,0.038845,-0.053216,0.12076,-0.20094,-0.056424,-0.14948,0.058564,-0.114313,0.0798025,0.031195,"Not hit"
"Nfia",-0.095848,0.12794,-0.1991,-0.13066,-0.08928,-0.07688,0.015397,-0.25381,-0.16184,-0.095715,-0.14419,-0.10377,-0.023032,"Not hit"
"Zfp770",-0.086083,-0.24583,0.041943,-0.010506,0.0915,0.13435,-0.019377,0.11107,0.082179,0.082625,0.0667215,0.061922,0.25658,"Not hit"
"Nr4a2",0.0029088,0.091903,-0.079657,0.0737,0.14946,-0.23368,-0.073695,0.048481,0.013887,-0.021086,0.0349015,-0.07999,-0.19929,"Not hit"
"Pard6a",0.046719,0.19714,0.021621,0.17929,0.047621,0.23242,0.44372,0.27805,0.033662,0.19582,0.034621,0.205855,0.25189,"Not hit"
"Sowaha",-0.082878,-0.069302,-0.093587,-0.14716,-0.0015137,-0.061736,-0.053107,-0.14083,-0.092122,-0.1216,-0.04755035,-0.104448,0.050004,"Not hit"
"Cacng8",-0.04251,0.13282,0.0032485,0.038873,0.19204,0.15706,-0.19659,0.095023,0.052786,0.09894,0.09764425,0.0979665,0.21177,"Not hit"
"Vmn1r199",-0.031973,-0.047921,0.23815,0.069037,0.010376,-0.13645,0.4083,0.096764,0.081421,0.0091265,0.124263,-0.0337065,0.16854,"Not hit"
"Arhgef28",-0.11757,-0.36908,0.031857,-0.28066,-0.51566,-0.17897,-0.13049,-0.33303,-0.086709,-0.23652,-0.2419015,-0.229815,-0.15616,"Not hit"
"Loxl1",0.022463,-0.11117,-0.13359,-0.13763,-0.21701,0.054651,-0.55896,0.23045,-0.20153,-0.11699,-0.1753,-0.0414895,-0.11174,"Not hit"
"6330409D20Rik",-0.085196,0.025159,0.2446,-0.12267,0.14133,-0.059745,-0.061921,0.13787,0.14145,-0.060165,0.192965,-0.0912075,0.02465,"Not hit"
"Stac",0.071769,-0.035472,-0.052185,-0.064214,0.087589,-0.068332,-0.13334,-0.072759,0.034188,-0.068603,0.017702,-0.066273,0.27824,"Not hit"
"Gdpd1",0.066881,-0.20569,0.028754,0.14869,-0.013085,0.039013,-0.068393,0.033236,0.0040207,0.085139,0.0078345,0.0938515,0.063063,"Not hit"
"Strc",0.060094,0.019014,0.064748,0.054971,-0.10165,0.16107,0.0096689,-0.13337,-0.025291,0.14984,-0.018451,0.1080205,0.039284,"Not hit"
"Phf15",0.25824,0.047164,-0.050746,0.026,0.13759,0.09372,0.23308,-0.2652,0.046286,0.088482,0.043422,0.05986,-0.08366,"Not hit"
"Dtwd1",0.030239,0.058047,-0.043343,0.078615,0.12209,0.10431,0.052906,0.085843,-0.0049124,0.10385,0.0393735,0.0914625,0.17286,"Not hit"
"Npff",0.078979,-0.15517,0.23553,0.0239,-0.23767,-0.11257,0.073533,0.003377,-0.1397,-0.045431,-0.00107,-0.044335,0.19882,"Not hit"
"Pigc",-0.073149,-0.07068,0.35055,0.19618,-0.23404,0.0026732,0.074198,-0.11897,0.15178,0.026037,0.058255,0.0994266,0.16535,"Not hit"
"Olfr1135",-0.014935,0.24479,0.053975,0.082592,-0.13685,0.024814,-0.026076,0.042757,-0.10135,0.04491,-0.0414375,0.053703,-0.15328,"Not hit"
"D930020B18Rik",0.24371,-0.056042,0.1195,-0.11269,0.3896,0.15509,-0.28654,-0.12189,0.19498,0.052435,0.25455,0.0212,-0.09503,"Not hit"
"Irf5",-0.00086254,0.054254,0.097482,0.012174,-0.089233,0.06179,-0.14191,0.015344,0.077199,0.027312,0.0041245,0.036982,0.11263,"Not hit"
"Ubap1",-0.12221,0.042417,-0.86969,0.12363,-0.55544,-0.35517,-0.55918,-0.81752,-0.5522,0.016688,-0.712565,-0.11577,-1.3576,"Not hit"
