,tx,slen
1861,aph1,3.25
1862,aph1,13.75
1863,aph1,5.5
1864,aph1,4.0
1865,aph1,4.75
1866,aph1,3.25
1867,aph1,5.5
1868,aph1,4.5
1869,aph1,6.25
1870,aph1,5.0
1871,aph1,5.75
1872,aph1,6.25
1873,aph1,4.0
1874,aph1,7.5
1875,aph1,28.5
1876,aph1,18.25
1877,aph1,4.75
1878,aph1,5.5
1879,aph1,5.0
1880,aph1,23.75
1881,aph1,7.0
1882,aph1,5.0
1883,aph1,5.0
1884,aph1,4.5
1885,aph1,2.75
1886,aph1,4.5
1887,aph1,6.0
1888,aph1,10.5
1889,aph1,6.5
1890,aph1,4.0
1891,aph1,4.5
1892,aph1,4.5
1893,aph1,8.0
1894,aph1,4.5
1895,aph1,4.25
1896,aph1,4.5
1897,aph1,5.5
1898,aph1,5.0
1899,aph1,5.5
1900,aph1,6.5
1901,aph1,4.75
1902,aph1,6.75
1903,aph1,6.25
1904,aph1,5.5
1905,aph1,4.0
1906,aph1,4.0
1907,aph1,2.75
1908,aph1,6.5
1909,aph1,11.75
1910,aph1,4.5
1911,aph1,5.25
1912,aph1,5.75
1913,aph1,19.5
1914,aph1,4.5
1915,aph1,5.5
1916,aph1,4.5
1917,aph1,7.75
1918,aph1,5.25
1919,aph1,3.5
1920,aph1,6.25
1921,aph1,4.25
1922,aph1,6.5
1923,aph1,4.75
1924,aph1,6.5
1925,aph1,6.25
1926,aph1,10.0
1927,aph1,5.25
1928,aph1,6.25
1929,aph1,5.0
1930,aph1,4.0
1931,aph1,24.25
1932,aph1,5.0
1933,aph1,22.0
1934,aph1,7.0
1935,aph1,6.5
1936,aph1,5.75
